"","Atr","Dim","Spl","Lfq","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","Sks","SksP","Kts","KtsP","AbsC","AtrEnt","CanC","ClEnt","NClEnt","JEnt","MutInf","EAttr","NoiSig","class"
"bibtex_TAG_2005",1836,0.376229508196721,4880,0.00799180327868852,1,0,2,2,2,0,2,5.80885869108357,5.80885869108357,41.2006437982861,41.2006437982861,0.0340207902322313,0.127292210154559,0.612752116554879,0.0465549094830298,0.0671645370402016,0.0465549094830301,0.000132147011809524,352.296346663772,962.262115514479,"SVM"
"bibtex_TAG_2006",1836,0.376229508196721,4880,0.0174180327868852,1,0,2,2,2,0,2,6.66932056431213,6.66932056431213,52.5537463508617,52.5537463508617,0.0322673469888881,0.127292210154559,0.64574199461262,0.0878128244641445,0.126687126380874,0.0878128244641488,0.000231110083964745,379.961025316144,549.786049534635,"KNN_3"
"bibtex_TAG_2007",1836,0.376229508196721,4880,0.0104508196721311,1,0,2,2,2,0,2,6.08819906995772,6.08819906995772,44.4147773959374,44.4147773959374,0.0335451545675808,0.127292210154559,0.633123109615625,0.0580629895536937,0.0837671870883016,0.0580629895536912,0.000160267034000956,362.289037890022,793.250738762659,"KNN_3"
"bibtex_TAG_agdetection",1836,0.376229508196721,4880,0.0145491803278689,1,0,2,2,2,0,2,6.17174699129331,6.17174699129331,46.8158766764704,46.8158766764704,0.0295284698543996,0.127292210154559,0.778074570839769,0.0759890665983782,0.109629049543261,0.0759890665983798,0.000510267921382284,148.919936790321,248.461517803692,"KNN_3"
"bibtex_TAG_algorithms",1836,0.376229508196721,4880,0.00676229508196721,1,0,2,2,2,0,2,5.57820225253802,5.57820225253802,39.161010748643,39.161010748643,0.0381777524100486,0.127292210154559,0.751564067749264,0.0405264624392156,0.0584673263858293,0.040526462439217,0.000156402087472474,259.117145391989,812.877948892223,"SVM"
"bibtex_TAG_amperometry",1836,0.376229508196721,4880,0.0137295081967213,1,0,2,2,2,0,2,6.09950658660742,6.09950658660742,45.9175623698097,45.9175623698097,0.0302011262892369,0.127292210154559,0.866963634767742,0.0725098094096808,0.10460954245115,0.0725098094096802,0.000528094281153252,137.304666983581,240.040690455081,"KNN_3"
"bibtex_TAG_analysis",1836,0.376229508196721,4880,0.0260245901639344,1,0,2,2,2,0,2,7.09096580974061,7.09096580974061,59.3369764366994,59.3369764366994,0.0331553567967444,0.127292210154559,0.65204874044627,0.120639245214686,0.174045640807816,0.120639245214684,0.000200531998546326,601.595985125621,633.772560375959,"KNN_3"
"bibtex_TAG_and",1836,0.376229508196721,4880,0.0122950819672131,1,0,2,2,2,0,2,6.29046181073209,6.29046181073209,46.8351622872264,46.8351622872264,0.0335783711934431,0.127292210154559,0.632613674252972,0.0662997915339734,0.0956503804580354,0.0662997915339752,0.000165840414243276,399.780667676796,766.558443069436,"SVM"
"bibtex_TAG_annotation",1836,0.376229508196721,4880,0.00737704918032787,1,0,2,2,2,0,2,5.71965160779648,5.71965160779648,40.4260529397031,40.4260529397031,0.0329926022437377,0.127292210154559,0.76623929742635,0.043566520810236,0.0628532035217134,0.043566520810236,0.000186517971067255,233.578140277575,681.466195756868,"SVM"
"bibtex_TAG_antibody",1836,0.376229508196721,4880,0.0184426229508197,1,0,2,2,2,0,2,6.32525458624267,6.32525458624267,49.294909763427,49.294909763427,0.0319302897849702,0.127292210154559,0.836760845304461,0.0919145711075444,0.13260469592229,0.09191457110754,0.000572042395490056,160.677900505614,221.522336033347,"SVM"
"bibtex_TAG_apob",1836,0.376229508196721,4880,0.0377049180327869,1,0,2,2,2,0,2,6.99590254519442,6.99590254519442,63.9761153030453,63.9761153030453,0.0287295381249874,0.127292210154559,0.96793370215466,0.160580373223976,0.231668508114329,0.160580373223979,0.00136292546444787,117.820363191341,92.3963107117716,"RF"
"bibtex_TAG_architecture",1836,0.376229508196721,4880,0.0129098360655738,1,0,2,2,2,0,2,6.35866324635375,6.35866324635375,47.6974047888072,47.6974047888072,0.0340466053801261,0.127292210154559,0.661171329960588,0.0689809062446454,0.0995184113551764,0.0689809062446469,0.000227229832693021,303.57328272928,559.191453058571,"KNN_3"
"bibtex_TAG_article",1836,0.376229508196721,4880,0.00778688524590164,1,0,2,2,2,0,2,5.84005497539175,5.84005497539175,41.4032095749134,41.4032095749134,0.0332048086189214,0.127292210154559,0.588416294379777,0.0455642640449536,0.0657353377794099,0.0455642640449551,0.000130742525290164,348.503778275893,972.609847844479,"SVM"
"bibtex_TAG_bettasplendens",1836,0.376229508196721,4880,0.0211065573770492,1,0,2,2,2,0,2,6.79360694972029,6.79360694972029,56.9965694077376,56.9965694077376,0.0277188061521381,0.127292210154559,0.985514280216779,0.10231494848828,0.147609268792851,0.102314948488278,0.000779322794400911,131.286995867909,162.336952375957,"SVM"
"bibtex_TAG_bibteximport",1836,0.376229508196721,4880,0.0670081967213115,1,0,2,2,2,0,2,7.55072768395094,7.55072768395094,78.1666929198455,78.1666929198455,0.0273669590487701,0.127292210154559,0.946883148523833,0.245830408363041,0.354658311045068,0.245830408363035,0.00185196378782717,132.740396966111,67.733638849335,"RF"
"bibtex_TAG_book",1836,0.376229508196721,4880,0.0137295081967213,1,0,2,2,2,0,2,6.33731587933327,6.33731587933327,47.7740991709885,47.7740991709885,0.0359242829781189,0.127292210154559,0.663367161720773,0.0725098094096808,0.10460954245115,0.0725098094096802,0.000199604802666784,363.266857515083,636.721179319811,"KNN_3"
"bibtex_TAG_children",1836,0.376229508196721,4880,0.0149590163934426,1,0,2,2,2,0,2,6.23653366833616,6.23653366833616,47.1610458528091,47.1610458528091,0.0340990419519953,0.127292210154559,0.819770991780417,0.0777109528697135,0.112113206327892,0.0777109528697126,0.00033786814702927,230.003785657194,375.751141750962,"KNN_3"
"bibtex_TAG_classification",1836,0.376229508196721,4880,0.00819672131147541,1,0,2,2,2,0,2,5.90579006801288,5.90579006801288,42.1690413946732,42.1690413946732,0.031887454250316,0.127292210154559,0.604827454170303,0.0475402577069826,0.0685860940364471,0.047540257706984,0.000147490773215325,322.326994906844,862.052022710076,"KNN_3"
"bibtex_TAG_clustering",1836,0.376229508196721,4880,0.0182377049180328,1,0,2,2,2,0,2,6.73999456838517,6.73999456838517,53.5330833870888,53.5330833870888,0.0318959974616662,0.127292210154559,0.732468726305175,0.0910989652379328,0.131428025378882,0.0910989652379328,0.000265289663501807,343.394326169487,478.823482280879,"KNN_3"
"bibtex_TAG_cognition",1836,0.376229508196721,4880,0.0145491803278689,1,0,2,2,2,0,2,6.24288027000563,6.24288027000563,47.0218821149884,47.0218821149884,0.0366720884793425,0.127292210154559,0.727980286447217,0.0759890665983782,0.109629049543261,0.0759890665983798,0.000233333361720541,325.667388658245,544.537977149683,"SVM"
"bibtex_TAG_collaboration",1836,0.376229508196721,4880,0.010655737704918,1,0,2,2,2,0,2,5.99654570131604,5.99654570131604,43.748093867063,43.748093867063,0.0348630800640312,0.127292210154559,0.690419868900395,0.058993465996382,0.085109580837832,0.0589934659963805,0.000207495650060698,284.311820412259,612.469294981958,"SVM"
"bibtex_TAG_collaborative",1836,0.376229508196721,4880,0.0135245901639344,1,0,2,2,2,0,2,6.28505338809636,6.28505338809636,47.2634663873809,47.2634663873809,0.0341065883819782,0.127292210154559,0.707394593161822,0.0716323530117382,0.103343640457242,0.071632353011737,0.000219585902664568,326.215627426508,578.692086832216,"KNN_3"
"bibtex_TAG_community",1836,0.376229508196721,4880,0.0163934426229508,1,0,2,2,2,0,2,6.50472968216686,6.50472968216686,50.3249864461201,50.3249864461201,0.0351305844110009,0.127292210154559,0.719756986103369,0.0836497046105897,0.120681014013524,0.0836497046105925,0.000236741811930579,353.337266148485,536.683686360759,"KNN_3"
"bibtex_TAG_competition",1836,0.376229508196721,4880,0.0116803278688525,1,0,2,2,2,0,2,6.06724362398314,6.06724362398314,44.9347158887152,44.9347158887152,0.0321367108398311,0.127292210154559,0.749247856423568,0.0635875436711242,0.0917374339166412,0.0635875436711225,0.000362111010550113,175.602347949937,350.528140393133,"SVM"
"bibtex_TAG_complex",1836,0.376229508196721,4880,0.0100409836065574,1,0,2,2,2,0,2,5.8818216766894,5.8818216766894,42.5833045669948,42.5833045669948,0.0388819141691278,0.127292210154559,0.716398840236001,0.0561897742222435,0.0810647086191012,0.0561897742222459,0.00024206914838897,232.122823565912,524.850613354575,"KNN_3"
"bibtex_TAG_complexity",1836,0.376229508196721,4880,0.00860655737704918,1,0,2,2,2,0,2,5.86115313438526,5.86115313438526,41.8661567464188,41.8661567464188,0.0368839243995927,0.127292210154559,0.662880089744555,0.0494955816651803,0.0714070302142703,0.0494955816651826,0.000147451688527076,335.673210389121,862.280789973355,"SVM"
"bibtex_TAG_compounds",1836,0.376229508196721,4880,0.0110655737704918,1,0,2,2,2,0,2,6.01523859367813,6.01523859367813,44.0574747518133,44.0574747518133,0.0308779019218844,0.127292210154559,0.777162564287084,0.0608425429858883,0.0877772350408147,0.0608425429858853,0.000232242086341942,261.978971788544,547.101389199287,"SVM"
"bibtex_TAG_computer",1836,0.376229508196721,4880,0.0165983606557377,1,0,2,2,2,0,2,6.42466794613881,6.42466794613881,49.359555620796,49.359555620796,0.0371278305813383,0.127292210154559,0.720319557318874,0.0844874128623179,0.121889571554004,0.0844874128623188,0.000211852193905709,398.803577648677,599.853868009573,"SVM"
"bibtex_TAG_computing",1836,0.376229508196721,4880,0.00594262295081967,1,0,2,2,2,0,2,5.53180779100565,5.53180779100565,38.52224103713,38.52224103713,0.0337048178300931,0.127292210154559,0.659372778731456,0.0363844664276964,0.0524916892806286,0.0363844664276975,0.000134677172435613,270.160605317812,944.165448995567,"SVM"
"bibtex_TAG_concept",1836,0.376229508196721,4880,0.00840163934426229,1,0,2,2,2,0,2,6.0069704949479,6.0069704949479,43.0889386480137,43.0889386480137,0.0300207404387492,0.127292210154559,0.602586936235629,0.048520440107902,0.0700001983254202,0.0485204401079026,0.000189776653196159,255.671281428647,669.747470833443,"KNN_3"
"bibtex_TAG_context",1836,0.376229508196721,4880,0.0104508196721311,1,0,2,2,2,0,2,6.12670550253041,6.12670550253041,44.8434826413734,44.8434826413734,0.0308494327780868,0.127292210154559,0.648452747436554,0.0580629895536937,0.0837671870883016,0.0580629895536912,0.000192429756243778,301.736024028098,660.499617519133,"SVM"
"bibtex_TAG_cortex",1836,0.376229508196721,4880,0.00758196721311475,1,0,2,2,2,0,2,5.64861005926585,5.64861005926585,39.9800082427223,39.9800082427223,0.0317217510260442,0.127292210154559,0.872534006657711,0.0445681830835305,0.0642982967160408,0.0445681830835283,0.000244366744681987,182.382357883969,519.906436431089,"SVM"
"bibtex_TAG_critical",1836,0.376229508196721,4880,0.0100409836065574,1,0,2,2,2,0,2,5.81592792827642,5.81592792827642,42.0385676262308,42.0385676262308,0.0404336768337783,0.127292210154559,0.756998714883288,0.0561897742222435,0.0810647086191012,0.0561897742222459,0.000310683643258788,180.8584888244,408.716484651011,"SVM"
"bibtex_TAG_data",1836,0.376229508196721,4880,0.00881147540983607,1,0,2,2,2,0,2,5.9983264674278,5.9983264674278,43.1055719538857,43.1055719538857,0.0352087040097351,0.127292210154559,0.585978466687375,0.0504658014046537,0.0728067614209812,0.0504658014046552,0.000148291513718679,340.314830829709,857.391737750031,"SVM"
"bibtex_TAG_datamining",1836,0.376229508196721,4880,0.00860655737704918,1,0,2,2,2,0,2,5.99471857771811,5.99471857771811,43.086681233945,43.086681233945,0.0316717845636766,0.127292210154559,0.580536650430409,0.0494955816651803,0.0714070302142703,0.0494955816651826,0.00017409557252536,284.301208509885,730.162822282668,"KNN_3"
"bibtex_TAG_date",1836,0.376229508196721,4880,0.0129098360655738,1,0,2,2,2,0,2,6.16154671953518,6.16154671953518,46.0261201936238,46.0261201936238,0.0297893464600431,0.127292210154559,0.89109757289475,0.0689809062446454,0.0995184113551764,0.0689809062446469,0.00035400412683799,194.859045460265,358.578322692307,"SVM"
"bibtex_TAG_design",1836,0.376229508196721,4880,0.0307377049180328,1,0,2,2,2,0,2,7.00645236239879,7.00645236239879,59.5517310361029,59.5517310361029,0.0319932703803131,0.127292210154559,0.748572546868757,0.137297225989997,0.19807802706358,0.13729722598999,0.0003960924213688,346.62926777425,320.369971469457,"KNN_3"
"bibtex_TAG_development",1836,0.376229508196721,4880,0.00655737704918033,1,0,2,2,2,0,2,5.62757115090219,5.62757115090219,39.339793098846,39.339793098846,0.0361336245287671,0.127292210154559,0.623391173410339,0.0395008440485327,0.0569876718197465,0.0395008440485327,0.000131341788668446,300.748485679962,968.167630843606,"SVM"
"bibtex_TAG_diffusion",1836,0.376229508196721,4880,0.0112704918032787,1,0,2,2,2,0,2,5.96686999321537,5.96686999321537,43.5626611186343,43.5626611186343,0.0385946492919997,0.127292210154559,0.799307705292628,0.0617612894941342,0.089102706072095,0.0617612894941326,0.000227464408023915,271.520674512035,558.613749071355,"SVM"
"bibtex_TAG_diplomathesis",1836,0.376229508196721,4880,0.00799180327868852,1,0,2,2,2,0,2,5.75230742481421,5.75230742481421,40.8709592090753,40.8709592090753,0.0356515810508473,0.127292210154559,0.650896205723694,0.0465549094830298,0.0671645370402016,0.0465549094830301,0.000169045135003122,275.39928600826,752.007237695473,"SVM"
"bibtex_TAG_disability",1836,0.376229508196721,4880,0.00655737704918033,1,0,2,2,2,0,2,5.49955111471551,5.49955111471551,38.5973690263838,38.5973690263838,0.0329036754021068,0.127292210154559,0.754538351769625,0.0395008440485327,0.0569876718197465,0.0395008440485327,0.000224761112643065,175.74590009822,565.344456377148,"KNN_3"
"bibtex_TAG_dynamics",1836,0.376229508196721,4880,0.025,1,0,2,2,2,0,2,6.43804162024477,6.43804162024477,51.0595819678102,51.0595819678102,0.035504834448561,0.127292210154559,0.755141015412936,0.116906849137532,0.168660931496672,0.116906849137535,0.000496870802269359,235.286212439095,255.187744526701,"SVM"
"bibtex_TAG_education",1836,0.376229508196721,4880,0.0145491803278689,1,0,2,2,2,0,2,6.29991997508532,6.29991997508532,47.7399427149664,47.7399427149664,0.03444488306385,0.127292210154559,0.717295381000096,0.0759890665983782,0.109629049543261,0.0759890665983798,0.000266468597686819,285.170812838848,476.700604347256,"SVM"
"bibtex_TAG_elearning",1836,0.376229508196721,4880,0.0114754098360656,1,0,2,2,2,0,2,6.08762730155679,6.08762730155679,44.8614439701005,44.8614439701005,0.0348549122373332,0.127292210154559,0.717775465431995,0.0626762675446031,0.0904227403680288,0.0626762675446031,0.000234532128574416,267.239580033557,541.749562408761,"KNN_3"
"bibtex_TAG_electrochemistry",1836,0.376229508196721,4880,0.0282786885245902,1,0,2,2,2,0,2,6.90444581588354,6.90444581588354,58.8405212846715,58.8405212846715,0.028425433202138,0.127292210154559,0.909772532256086,0.128706838828933,0.185684718106996,0.128706838828926,0.000881139926018141,146.068558498486,143.463105570294,"SVM"
"bibtex_TAG_elisa",1836,0.376229508196721,4880,0.00717213114754098,1,0,2,2,2,0,2,5.42474236116121,5.42474236116121,38.3386284293153,38.3386284293153,0.0316479717794467,0.127292210154559,0.765273243287615,0.042559123333648,0.0613998361780357,0.0425591233336466,0.000312184425034578,136.326862971893,406.746831509805,"KNN_3"
"bibtex_TAG_empirical",1836,0.376229508196721,4880,0.00717213114754098,1,0,2,2,2,0,2,5.5924626035041,5.5924626035041,39.3598295219092,39.3598295219092,0.0354952232165945,0.127292210154559,0.679704185955083,0.042559123333648,0.0613998361780357,0.0425591233336466,0.000161181204000574,264.045200540235,788.745993919405,"KNN_3"
