"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.863239039163053,0.598467281422151,0.230160109768696,152.85628742515,0.320319872724192,0.136760960836947,0.503087420406704,0.450797328391545,0.517527691043408,0.0538070083305738,0.594571615401425,0.316006884681583,0.626621160409556,0.211277330264672,0.425149700598802,0.630449141676687,0.00902854849709305,0.219005564272226,0
"NB",0.784568793447588,0.59724878617082,0.212564927076402,154.682634730539,0.310435997680007,0.215431206552412,0.517862173621055,0.25056032638307,0.229644021720974,0.190884775374554,0.595931605533481,0.312087912087912,0.29863301787592,0.326812428078251,0.850299401197605,0.317911566947565,0.0117810532731192,0.329098029400859,0
"RF",0.85466997040402,0.589765215993174,0.233585879154125,152.988023952096,0.299168133008034,0.14533002959598,0.502690762772334,0.271121912423583,0.274638369746287,0.0608356400378564,0.587447245354809,0.297921862011638,0.536526946107784,0.206214039125432,0.497005988023952,0.564613095805278,0.00851497928657267,0.210855400766089,0
"DT",0.815747814715397,0.608271186483826,0.227332333087642,154.161676646707,0.330186140475602,0.184252185284603,0.506803113809595,0.274753084344749,0.247067608839576,0.134364692705127,0.606295266203775,0.332918016446549,0.362944851942407,0.307479861910242,0.868263473053892,0.366548143167461,0.0116658671272873,0.311231676524255,0
"KNN_1",0.801190722004267,0.606329789093219,0.211379908398209,154.443113772455,0.323520955965966,0.198809277995733,0.508529704524048,0.268584906259176,0.174358984775632,0.162427364714537,0.606272845406812,0.330513385096767,0.332866479925303,0.32819332566168,0.874251497005988,0.332139532562306,0.0118440711093459,0.32810340412536,0
"KNN_3",0.835398169178884,0.61033629782433,0.224883871743738,153.502994011976,0.339644809898899,0.164601830821116,0.508545500352345,0.286508093741209,0.234784640823328,0.113718962583556,0.609975960156079,0.343805734668679,0.425611413043478,0.288377445339471,0.640718562874252,0.43374726170524,0.0109763190992542,0.288833217461944,0
"KNN_5",0.845894418060431,0.611189707433349,0.227980952829064,152.916167664671,0.34205663946537,0.154105581939569,0.507450643224159,0.274429023073439,0.298763055782575,0.09734877196285,0.610456249481679,0.347610722610723,0.473600635172688,0.274568469505178,0.568862275449102,0.475470374860903,0.0106750279277624,0.27583368565209,0
"KNN_7",0.85091885195127,0.609879462416419,0.227231600584779,152.940119760479,0.339927667515693,0.14908114804873,0.506699290111053,0.272843084439815,0.35822679979203,0.0873829948073062,0.608383506172145,0.344827586206897,0.502867225408028,0.262370540851554,0.479041916167665,0.509910672204011,0.0104033661103686,0.265048582183638,0
"RANDOM",0.834379516828412,0.591533605229283,0.227498055412718,153.732934131737,0.301200782377537,0.165620483171588,0.507378776750011,0.273625711835583,0.271167732546593,0.0991423188781138,0.589317889509661,0.301829048539832,0.409374352969777,0.23970080552359,0.739520958083832,0.427035697528872,0.0095351854492037,0.243992113671934,0
"TOP3",0.842280955330718,0.634937032707489,0.227072381130624,153.502994011976,0.385804184469403,0.157719044669282,0.512395363822894,0.30176274274114,0.3672516007145,0.12717303469165,0.633275447476501,0.388525683789193,0.462222222222222,0.335097813578826,0.55688622754491,0.470178834360217,0.012934741112519,0.338161735412341,0
"ALL",0.789902952715259,0.662770304366199,0.200683255535831,153.335329341317,0.399563941023563,0.210097047284741,0.536263322161727,0.30230342145118,0.332347081147301,0.259733031559524,0.660620410226547,0.403983208044518,0.350796880298406,0.476179516685846,0.856287425149701,0.354936088826101,0.0166162518128927,0.480109267965082,0
