"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.975331610680448,0.568785865297493,0.190785791846695,22.5085271317829,0.906148867313916,0.0246683893195521,0.513218135816533,0.310037560037092,0.807134894091416,0.0314458064458064,0.564038418954827,0.223427331887202,0.844262295081967,0.12875,0.803100775193798,0.847107438016529,0.128035993611981,0.138242894056848,0.116279069767442
"NB",0.403824289405685,0.692040235469116,0.181116086535828,18.0651162790698,0.0828610935584255,0.596175710594315,0.5,0.0806695179702404,0.043078626799557,0.692307692307692,0.680102967227635,0.0825026511134677,0.043078626799557,0.9725,0.951937984496124,0.043078626799557,0.336516104931465,0.978552971576227,0
"RF",0.983600344530577,0.744182339504135,0.199305822661746,22.1906976744186,0.927938342967245,0.0163996554694229,0.556845173310405,0.604459207416466,0.918262141220124,0.134358454859691,0.742580823737821,0.621019108280255,0.855263157894737,0.4875,0.458914728682171,0.867609254498715,0.435466891740553,0.490697674418605,0.42015503875969
"DT",0.9871834625323,0.850265772926671,0.19779109152906,21.9953488372093,0.913374485596708,0.0128165374677003,0.616689646989991,0.736898309110184,0.753220549809104,0.275161071311159,0.847054362267493,0.750335570469799,0.810144927536232,0.69875,0.303875968992248,0.84016139044072,0.625086087119619,0.705167958656331,0.567441860465116
"KNN_1",0.976950904392765,0.768934009023246,0.170039005133261,22.7178294573643,0.878056951423786,0.0230490956072351,0.58869177148474,0.447732513999704,0.431278543937285,0.216997181973685,0.756773139946856,0.556071665560717,0.592644978783593,0.52375,0.431007751937985,0.599673202614379,0.497067210777324,0.548062015503876,0.4
"KNN_3",0.981119724375538,0.752960045483031,0.192502595105775,22.2480620155039,0.911924119241192,0.0188802756244617,0.567428783938789,0.532065452776064,0.767879833365502,0.161625586690842,0.737661647475642,0.583586626139818,0.744186046511628,0.48,0.429457364341085,0.755252100840336,0.469040231046721,0.510594315245478,0.423255813953488
"KNN_5",0.980602928509905,0.730761723703855,0.195380608290121,22.2325581395349,0.914925373134328,0.0193970714900947,0.555596594413844,0.513221602913968,0.881623967612346,0.133665270614859,0.718570084145261,0.556343577620173,0.752665245202559,0.44125,0.475968992248062,0.759302325581395,0.425753933785302,0.465633074935401,0.389147286821705
"KNN_7",0.979672695951766,0.706115723408855,0.190354536281556,22.3100775193798,0.91783723522854,0.0203273040482343,0.542387809732247,0.423764875239442,0.874772324415523,0.102792590956859,0.696229517271922,0.51797385620915,0.747641509433962,0.39625,0.525581395348837,0.748081841432225,0.379864809989202,0.416020671834625,0.348837209302326
"RANDOM",0.785960378983635,0.666215262413207,0.136799140837242,25.4057364341085,0.209273783968513,0.214039621016365,0.524042161693422,0.248453782459345,0.355010103621398,0.285214502032141,0.663854572630647,0.125372660600986,0.0718663804723583,0.534625,0.952248062015504,0.0701386079467475,0.379441749384962,0.539328165374677,0
"TOP3",0.983875968992248,0.782494983833545,0.195750334385468,22.1984496124031,0.92525,0.0161240310077519,0.580372118136997,0.573859223848863,0.903164442039442,0.190706174250889,0.776123228520815,0.655375552282769,0.797491039426523,0.55625,0.387596899224806,0.805845511482255,0.510021511049094,0.568992248062016,0.485271317829457
"ALL",0.987424633936262,0.871561848103222,0.198207499342385,21.984496124031,0.90588996763754,0.0125753660637382,0.639564621988847,0.63999780840138,0.775236525018281,0.328918403303785,0.865396922054916,0.763447828904731,0.792732166890982,0.73625,0.272868217054264,0.831268436578171,0.666301623981451,0.748578811369509,0.587596899224806
