"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","Nlbst","NSlbst","Mfreq","LCard","LDen","Mir","Scl","Lfq","IRLbl","LScl","auc","accuracy","topauc","topaccuracy"
"Pacific Wren",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.108695652173913,0.891304347826087,0.5,0.553387915711211,4.61828723422233,4.5376416919254,41.6834981956922,40.3111135172677,0.207577269239891,0.988810417348673,1,0.343779563944592,0.495969072061833,0.476219319909261,0.168209641304997,0.355147704169293,0.0170363938857087,20.1791274756201,26.9530587930786,0.515527950310559,NA,0.950310559006211,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.108695652173913,1.82857142857143,0.0484158344968999,"RF","KNN_1","RF","SVM"
"Pacific-slope Flycatcher",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0652173913043478,0.934782608695652,0.5,0.614875461901346,4.17681643547861,4.11082611438261,35.9534544685308,34.7745608311923,0.209130773723486,0.990261560435278,1,0.241088312992845,0.347816913571064,0.476219319909261,0.168209641304997,0.25284672793007,0.00771028114773057,31.2684204860425,60.7641965039668,0.195652173913043,NA,0.91304347826087,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.0652173913043478,3.04761904761905,0.05115254821501,"RF","KNN_1","RF","SVM"
"Dark-eyed Junco",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0403726708074534,0.959627329192547,0.5,0.650011202581423,3.89148588614308,3.82224385503836,34.9289576137112,33.7205261442081,0.246363569687353,0.984295586278295,1,0.169126712599057,0.243998269548512,0.476219319909261,0.168209641304997,0.180947043582985,0.00704501147835364,24.0065914894123,66.5966705480159,0.254658385093168,NA,0.962732919254658,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.0403726708074534,4.92307692307692,0.100046657826525,"RF","KNN_1","RF","SVM"
"Hermit Thrush",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.077639751552795,0.922360248447205,0.5,0.597307591561307,4.22070276697474,4.15085531495921,37.2428146778547,36.0285809912445,0.227444715535158,0.975868194560278,1,0.272966636084449,0.393807612207178,0.476219319909261,0.168209641304997,0.284738257654383,0.00826828041025591,33.0137129536468,56.5959324406273,0.254658385093168,NA,0.922360248447205,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.077639751552795,2.56,0.0502250395161977,"RF","KNN_1","RF","RF"
"Chestnut-backed Chickadee",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0683229813664596,0.93167701863354,0.5,0.610483494316336,4.18906158391692,4.12720774330869,36.2091283874359,35.0376780502979,0.213528793556812,0.976714698901735,1,0.249279258678746,0.359633950292305,0.476219319909261,0.168209641304997,0.261145585337239,0.00723572230710987,34.4511920301036,64.8150354168962,0.263975155279503,NA,0.922360248447205,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.0683229813664596,2.90909090909091,0.049341252787257,"RF","KNN_1","RF","SVM"
"Varied Thrush",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0900621118012422,0.909937888198758,0.5,0.579739721221269,4.35676368688491,4.29703693578999,37.4293456476275,36.3111787931254,0.213515654291909,0.988955534807974,1,0.302681503582891,0.436677104187851,0.476219319909261,0.168209641304997,0.314227557581966,0.0076749574935,39.4375478742696,61.0484635012737,0.260869565217391,NA,0.903726708074534,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.0900621118012422,2.20689655172414,0.0567161601350362,"RF","DT","RF","SVM"
"Hermit Warbler",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.077639751552795,0.922360248447205,0.5,0.597307591561307,4.49381658312201,4.4233840333838,36.8362340395627,35.682965202764,0.222236726780069,0.964769048975183,1,0.272966636084449,0.393807612207178,0.476219319909261,0.168209641304997,0.284795977891023,0.00761794096379549,35.8320755413743,61.5128656381704,0.301242236024845,NA,0.897515527950311,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.077639751552795,2.56,0.0376150089383651,"SVM","DT","SVM","SVM"
"Swainson's Thrush",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.198757763975155,0.801242236024845,0.5,0.426020855745932,4.92221676577346,4.83581048638541,42.8864662477867,41.5065785903038,0.189516857235312,0.974730567834981,1,0.49867548888355,0.719436654825177,0.476219319909261,0.168209641304997,0.510300710615657,0.012204379489439,40.8603722389225,38.0203631672839,0.444099378881988,NA,0.860248447204969,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.198757763975155,1,0.0952019952387883,"RF","DT","RF","RF"
"Hammond's Flycatcher",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0372670807453416,0.962732919254658,0.5,0.654403170166432,4.04159321454238,3.96249716927141,35.6029614000168,34.3477731889768,0.260265985766425,0.983035111398717,1,0.159159334314578,0.22961838232683,0.476219319909261,0.168209641304997,0.170912477282759,0.00796166031018851,19.9907215472258,58.8140716076325,0.242236024844721,NA,0.956521739130435,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.0372670807453416,5.33333333333333,0.0870816272164268,"RF","KNN_1","RF","SVM"
"Western Tanager",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0559006211180124,0.944099378881988,0.5,0.628051364656374,4.09059422177363,4.01739231440365,36.4859236476406,35.2281322568966,0.217979383731813,0.971506962753918,1,0.21553566706732,0.310952238012717,0.476219319909261,0.168209641304997,0.227277794475831,0.0074902937329992,28.7753290792532,62.5781902398876,0.242236024844721,NA,0.919254658385093,65,33,156,0.925465838509317,0.0771221532091097,3.12330827537724,0.022425941731858,0.0559006211180124,3.55555555555556,0.0581970820334358,"SVM","DT","SVM","RF"
