"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.990663101604278,0.511268541238947,0.119231762102612,172.696,0.455263157894737,0.00933689839572193,0.501809363639841,0.223549564941755,0.872666666666667,0.0053734274328294,0.511563125102713,0.0448577680525164,0.630769230769231,0.0232558139534884,0.918,0.612903225806452,0.00641018916490615,0.0226666666666667,0
"NB",0.0961818181818182,0.527141908496362,0.105115518394445,175.562,0.0191144230572187,0.903818181818182,0.502126187566677,0.0273529091038934,0.0114001149391744,0.971240023515313,0.509519042017307,0.0190486140130937,0.00962277095928647,0.93079977311401,0.994,0.00962108324967386,0.024689352824033,0.931,0
"RF",0.990294117647059,0.520654468668378,0.12447615297928,172.698,0.436243386243386,0.00970588235294118,0.501729278470741,0.225045833744042,0.795555555555556,0.00614695876668411,0.521208665701894,0.0772750381291307,0.372549019607843,0.0431083380601248,0.854,0.356893542757417,0.0118698052499939,0.042,0
"DT",0.990139037433155,0.533207397124101,0.124287133791447,172.924,0.457357142857143,0.00986096256684492,0.504788247315865,0.21352840690008,0.43102766798419,0.0154423252413034,0.533490350273504,0.115163147792706,0.373831775700935,0.0680657969370391,0.824,0.357344632768362,0.0198193402297176,0.0675,0.002
"KNN_1",0.984192513368984,0.566430455681193,0.124644457201837,180.09,0.461255411255411,0.015807486631016,0.514370528948773,0.233981906898909,0.090778759666877,0.052311814070809,0.567849586360722,0.146158290005777,0.1489111241907,0.143505388542258,0.92,0.1475,0.0410302609029756,0.140666666666667,0.016
"KNN_3",0.989283422459893,0.545737469207778,0.120996698881964,173.264,0.529149977748109,0.010716577540107,0.509612168474865,0.308839097779037,0.317874063045563,0.0307439716875433,0.545699342025179,0.141388174807198,0.288966725043783,0.0935904707884288,0.844,0.262383900928793,0.0283963026723131,0.0936666666666667,0.01
"KNN_5",0.990026737967914,0.53274490792544,0.120417806128362,172.832,0.546,0.00997326203208556,0.506470606746262,0.270334918834244,0.506613403715385,0.0202528621684536,0.532310033163781,0.110634239389604,0.347305389221557,0.0657969370391378,0.878,0.309701492537313,0.0208971792901708,0.0666666666666667,0.008
"KNN_7",0.990449197860963,0.522641354962475,0.11614352203012,172.722,0.524489795918367,0.00955080213903743,0.504069866323816,0.221509714804678,0.614766240624364,0.0124382810917242,0.522129668527141,0.0812757201646091,0.43646408839779,0.0448099829835508,0.904,0.414492753623188,0.0148334802457444,0.0458333333333333,0.004
"AUC",0.990288770053476,0.520651765965675,0.124550725221261,172.7,0.43385518590998,0.00971122994652406,0.501470927048331,0.186400899492445,0.768686868686869,0.00542005203440945,0.521205966457142,0.0772357723577236,0.370731707317073,0.0431083380601248,0.852,0.357512953367876,0.0118751960855734,0.042,0
"ACC",0.97524064171123,0.617001170963777,0.0702765841779535,192.572,0.25830488030488,0.0247593582887701,0.503224904772735,0.239911399797914,0.479192084144486,0.032941896802373,0.614737259022016,0.15848782260996,0.116608718908799,0.247305728871242,0.998,0.114383333333333,0.0777105663479993,0.251833333333333,0
"RANDOM",0.680585026737968,0.514413189240581,0.0608223008813216,209.5532,0.0259969879782274,0.319414973262032,0.501859643810414,0.0409428930569442,0.05401682807562,0.331385490395623,0.515390922706611,0.0201333408769322,0.010368442513595,0.347022121384005,0.9974,0.010358906086693,0.07079879584632,0.345066666666667,0
"TOP3",0.990737967914438,0.515432512487824,0.119528764410293,172.694,0.460130718954248,0.0092620320855615,0.502540593173064,0.229832250285326,0.900769230769231,0.00746302384924438,0.515814538166526,0.0607375271149675,0.691358024691358,0.0317640385706183,0.892,0.671052631578947,0.00877790364488478,0.031,0
"ALL",0.990946524064171,0.528822202965505,0.121944244164449,172.652,0.528442728442728,0.00905347593582888,0.509896857248439,0.327006588546578,0.895252525252525,0.0284633688088321,0.529684312593659,0.110352075669995,0.75,0.0595575723199092,0.85,0.688888888888889,0.0172604829897283,0.0578333333333333,0.01
