"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.706270627062706,0.559323432343234,0.521397139713971,3.36633663366337,0.66078431372549,0.293729372937294,0.562274137642779,0.230921671830763,0.888863636363636,0.143266285748852,0.562180358645692,0.239316239316239,0.811594202898551,0.140350877192982,0.559405940594059,0.822033898305085,0.0716446644664466,0.134488448844884,0.0297029702970297
"NB",0.71947194719472,0.721369636963696,0.585492299229923,3.31188118811881,0.703050108932462,0.280528052805281,0.678753857048972,0.552972911467536,0.586896696739588,0.579356041708119,0.685607006446004,0.579207920792079,0.572127139364303,0.586466165413534,0.440594059405941,0.579447322970639,0.269196919691969,0.571782178217822,0.198019801980198
"RF",0.772277227722772,0.701897689768977,0.61974697469747,3.08415841584158,0.750245098039216,0.227722772277228,0.698279722334838,0.577156651987706,0.731081955637855,0.488617329084407,0.70071858613323,0.586826347305389,0.728624535315985,0.491228070175439,0.336633663366337,0.716867469879518,0.253355335533553,0.481848184818482,0.202970297029703
"DT",0.682343234323432,0.650206270627063,0.544375687568757,3.1980198019802,0.65702479338843,0.317656765676568,0.612276943335158,0.426303680252512,0.553871926017681,0.386640381701633,0.60241470835761,0.43298969072165,0.525,0.368421052631579,0.48019801980198,0.571646341463415,0.205926842684268,0.391914191419142,0.123762376237624
"KNN_1",0.726897689768977,0.741006600660066,0.622098459845985,3.16336633663366,0.728172043010753,0.273102310231023,0.684590195793977,0.578733956586829,0.595371468733915,0.572392350846973,0.688589555068483,0.581542351453856,0.586734693877551,0.576441102756892,0.381188118811881,0.579207920792079,0.303781628162816,0.589108910891089,0.227722772277228
"KNN_3",0.763201320132013,0.730899339933993,0.648748624862486,3.03960396039604,0.756427015250545,0.236798679867987,0.708195932852805,0.610732631353329,0.65892796451435,0.574584610682581,0.718202332399264,0.619867549668874,0.657303370786517,0.586466165413534,0.336633663366337,0.630102040816326,0.304180418041804,0.582508250825083,0.267326732673267
"KNN_5",0.77970297029703,0.755156765676568,0.643866886688669,3.09405940594059,0.766037735849057,0.22029702970297,0.726191942673998,0.635784891480372,0.684702897352438,0.603654517695855,0.738798102266737,0.649145860709593,0.68232044198895,0.619047619047619,0.336633663366337,0.671821305841924,0.317904290429043,0.615511551155115,0.262376237623762
"KNN_7",0.783828382838284,0.743481848184819,0.631229372937294,3.10891089108911,0.757537154989384,0.216171617161716,0.722790546748226,0.629330491720137,0.706149452223471,0.580570749753661,0.736768119560895,0.645945945945946,0.700879765395894,0.598997493734336,0.316831683168317,0.696078431372549,0.303905390539054,0.58993399339934,0.267326732673267
"AUC",0.796204620462046,0.780775577557756,0.651540154015402,3.01485148514851,0.761706349206349,0.203795379537954,0.753506690965023,0.672767167642437,0.702553591587078,0.656287580088074,0.763222632226322,0.682926829268293,0.7,0.666666666666667,0.292079207920792,0.701754385964912,0.34231298129813,0.665841584158416,0.262376237623762
"ACC",0.796204620462046,0.780775577557756,0.651540154015402,3.01485148514851,0.761706349206349,0.203795379537954,0.753506690965023,0.672767167642437,0.702553591587078,0.656287580088074,0.763222632226322,0.682926829268293,0.7,0.666666666666667,0.292079207920792,0.701754385964912,0.34231298129813,0.665841584158416,0.262376237623762
"RANDOM",0.733250825082508,0.658205445544555,0.592226347634763,3.19653465346535,0.697658042420224,0.266749174917492,0.648178800087389,0.460217079528,0.733625601477072,0.408667583915489,0.651208741410722,0.500083803684228,0.664537822316668,0.411027568922306,0.428217821782178,0.659220032674485,0.208411716171617,0.403465346534653,0.117821782178218
"PRED",0.752475247524752,0.675577557755776,0.579455445544554,3.2970297029703,0.702985074626866,0.247524752475248,0.669395789022743,0.491917566748621,0.747210987895919,0.426973493467968,0.668729018117249,0.529780564263323,0.707112970711297,0.423558897243108,0.336633663366337,0.709839357429719,0.229496699669967,0.425742574257426,0.153465346534653
"TOP3",0.778052805280528,0.709034653465347,0.616267876787679,3.04455445544554,0.751643192488263,0.221947194719472,0.704529588936838,0.544868083391657,0.797387871943771,0.495192431363775,0.706299882547698,0.595488721804511,0.744360902255639,0.496240601503759,0.356435643564356,0.73921568627451,0.275206270627063,0.497524752475248,0.232673267326733
"ALL",0.788778877887789,0.744595709570957,0.634433443344334,3.02970297029703,0.757916666666667,0.211221122112211,0.741973783160694,0.643156618848334,0.731556354151469,0.596887346618013,0.73726752305117,0.646408839779005,0.72,0.586466165413534,0.267326732673267,0.717543859649123,0.314026402640264,0.585808580858086,0.257425742574257
