"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.953824094893603,0.707672489346839,0.148181406714031,31.6614853195164,0.62992275625609,0.0461759051063968,0.538512511313251,0.35932370499769,0.485015049580473,0.0918307666738605,0.69715586743912,0.525610980917308,0.754807692307692,0.403184386235234,0.341968911917098,0.760851202079272,0.175425281562176,0.424191956575376,0.119170984455959
"NB",0.28705966695995,0.594046827034749,0.127179362841306,31.993091537133,0.124366845959238,0.71294033304005,0.545379285732505,0.137209231298501,0.108157572013506,0.830618618046922,0.522899235803061,0.123688215973724,0.0670750249793649,0.79301489470981,0.994818652849741,0.0674049379132525,0.0848071139564161,0.822259231844724,0
"RF",0.953758920715613,0.737310775423548,0.156159522552943,31.559585492228,0.642644056623648,0.0462410792843875,0.562305506181189,0.356583623208677,0.435587842095851,0.144171877767545,0.723934767154222,0.558356676003735,0.708530805687204,0.460708782742681,0.329879101899827,0.724925462134764,0.204327742359909,0.4874393453409,0.126079447322971
"DT",0.947437025450517,0.739977588383963,0.160635988209772,31.4594127806563,0.614090315814454,0.0525629745494835,0.562619959151834,0.38481866845415,0.480834840433799,0.152305919542823,0.719362640237698,0.525169267000294,0.615172413793104,0.45814072932717,0.42314335060449,0.645172311348782,0.21536039393409,0.49934821942594,0.115716753022453
"KNN_1",0.933196467559553,0.703327400740674,0.164851335193207,31.4093264248705,0.586556543814608,0.0668035324404471,0.571650118416058,0.326490730108788,0.293866883953203,0.181122326880105,0.685425117385239,0.432761483121195,0.469106178764247,0.401643554185927,0.540587219343696,0.481865284974093,0.189806845954359,0.437538037667571,0.127806563039724
"KNN_3",0.941994981588295,0.676682752918973,0.149350334400236,31.5198618307427,0.604021199033987,0.0580050184117053,0.54108981249216,0.306793640956979,0.384975672769895,0.103702036936578,0.655168837449188,0.416775884665793,0.575565610859728,0.326656394453005,0.525043177892919,0.563195747342089,0.17296899414205,0.369713792252652,0.129533678756477
"KNN_5",0.942874832991169,0.661435578488103,0.144799091809919,31.6545768566494,0.603672193509592,0.0571251670088311,0.534343851366004,0.324867508724844,0.543799364632777,0.0864767498091991,0.638880007034,0.392374350086655,0.603411513859275,0.29070364663585,0.512953367875648,0.570667926906112,0.163711990958406,0.335829426762069,0.13126079447323
"KNN_7",0.943102942614136,0.641051732426125,0.144812576145436,31.7184801381693,0.598376180738144,0.0568970573858637,0.528644273584688,0.342806028855452,0.559730891846686,0.0711787623011117,0.622003821520824,0.361842105263158,0.627376425855513,0.254237288135593,0.595854922279793,0.584970887918486,0.142513603076217,0.292378073854758,0.107081174438687
"AUC",0.952813895134748,0.722668696300033,0.156311194097523,31.5094991364421,0.629437560075858,0.0471861048652524,0.560365382860627,0.353199270673133,0.495992955985024,0.140020735541383,0.713853924403799,0.542061986084757,0.705349794238683,0.440164355418593,0.386873920552677,0.727924528301887,0.184768294116995,0.457792581626778,0.105354058721934
"ACC",0.867142438165999,0.699356090656755,0.166062780345224,32.0621761658031,0.362345292099194,0.132857561834001,0.570754716702184,0.310823293169515,0.429835490064435,0.253382532023961,0.697084642826124,0.324216807558429,0.23935389133627,0.50231124807396,0.673575129533679,0.224952259408218,0.179295378241016,0.506875565424788,0
"RANDOM",0.718656108449832,0.654777296272511,0.127497009138896,38.005872193437,0.221985292771542,0.281343891550168,0.551910432308897,0.240353131932854,0.300125318191851,0.373767040475504,0.644050967550313,0.205559109035875,0.127798654357296,0.558602978941962,0.909326424870466,0.124942048045366,0.173708777037771,0.580106299860186,0
"TOP3",0.955388275165379,0.722312272869298,0.150387127743695,31.6113989637306,0.640308528129041,0.0446117248346205,0.55817334756392,0.423064817765891,0.559503838657406,0.131494293095431,0.71307364362281,0.553344208809135,0.758497316636851,0.435541859270673,0.335060449050086,0.76402166985341,0.1841269315594,0.454003207500617,0.119170984455959
"ALL",0.956235539479258,0.73119928124171,0.153285298575336,31.5388601036269,0.648762804447015,0.0437644605207417,0.566757641704782,0.414713229388425,0.759612417357261,0.149488225068885,0.724538742222122,0.5710635579687,0.755067567567568,0.459167950693374,0.343696027633851,0.765261813537676,0.188776761926333,0.472477177399457,0.119170984455959
