"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.986758693124273,0.596394025542684,0.0461568799002683,96.9049701789264,0.673360485775678,0.0132413068757268,0.52894489540075,0.316316828246964,0.801487343231807,0.0580270756265902,0.573476464837063,0.254540335069689,0.944618599791014,0.147087536609177,0.661630218687873,0.954415137614679,0.141074072389366,0.192922323034883,0.113320079522863
"NB",0.0193480625679883,0.501942263368924,0.0448330307499903,97.1113320079523,0.0301573591981221,0.980651937432012,0.502261552632011,0.0312595635700346,0.016335729998279,0.999964163486176,0.501860206203999,0.030383051953832,0.0154259459188029,0.999674585095997,0.990457256461233,0.0154299105974821,0.0023081317932972,0.999834327369119,0
"RF",0.986683671555572,0.591831694660768,0.0459766399407697,96.9121272365805,0.666989812205123,0.0133163284444278,0.524296060265838,0.232560950175702,0.701935610782775,0.0487293051365065,0.571035853057043,0.247136999858617,0.942826321467098,0.142206313049138,0.671570576540755,0.95538179768949,0.133774959970584,0.183798759096385,0.108548707753479
"DT",0.985423309201395,0.675782251677674,0.0445057659632692,96.8731610337972,0.644569364548223,0.0145766907986046,0.619297461766432,0.334513515554747,0.427226905911432,0.242912276985176,0.661130836382967,0.407802499238037,0.542872599404923,0.326553856166612,0.578131212723658,0.58898319029898,0.225016487164811,0.355860610659757,0.134393638170974
"KNN_1",0.976043112394814,0.605218431976316,0.0459686403943346,96.8675944333996,0.572380582976753,0.0239568876051865,0.567461867320989,0.180192314731837,0.271850424001781,0.147081875892003,0.602951601256599,0.218597063621533,0.219169120052339,0.218027985681744,0.789662027833002,0.245416839621611,0.132696307637896,0.22255468082769,0.0783300198807157
"KNN_3",0.984558060442377,0.569884220982889,0.0456786735223961,97.0357852882704,0.59021594467139,0.0154419395576228,0.536228197969035,0.177552603559396,0.44854196061637,0.0747447251489906,0.569235703179851,0.218848829854522,0.491756679931779,0.140741945981126,0.76182902584493,0.52660472972973,0.0817623437865985,0.142037376791791,0.0524850894632207
"KNN_5",0.985408304887655,0.551623234981637,0.0457197828630004,97.0095427435388,0.582310128780717,0.0145916951123448,0.5219333054958,0.192728741846826,0.462627014348845,0.0447364485763203,0.552369349834354,0.181971120145801,0.657548125633232,0.105597136348845,0.788866799204771,0.68063410454156,0.0574829469600226,0.104103234341511,0.037375745526839
"KNN_7",0.985450817109919,0.542849011175319,0.0457881728909392,96.9697813121272,0.565592118248757,0.0145491828900809,0.515721328964384,0.19778655132215,0.563412194916402,0.0319791773681942,0.543261378923975,0.15534262485482,0.721024258760108,0.0870484868206964,0.805168986083499,0.736089644513138,0.0477825328434001,0.0862225302796581,0.0290258449304175
"AUC",0.986721182339923,0.593875361026901,0.0459766953175039,96.9077534791252,0.668483225769944,0.0132788176600773,0.525748566070796,0.250934821165515,0.749355521405694,0.0516373069548817,0.572336242796308,0.251057827926657,0.942796610169492,0.144809632281158,0.664811133200795,0.950268817204301,0.13732340204685,0.187888311418308,0.110536779324056
"ACC",0.906780699451092,0.580504325708856,0.101584829445958,100.451689860835,0.140050151329619,0.0932193005489078,0.528971934514391,0.238205641961569,0.59636133593141,0.139841836686634,0.561533284787319,0.0634154920730635,0.0374981429208141,0.205336804425643,0.973359840954274,0.0360629725204044,0.156581226377123,0.243275888277058,0
"RANDOM",0.675908823786839,0.563743045674255,0.0404934194278817,99.1394035785288,0.0541141690822023,0.324091176213161,0.519661392645151,0.119642875127216,0.300559131805721,0.35897696141449,0.547179191027387,0.0379185887074156,0.0198771332258057,0.414367068011715,0.984453280318091,0.0198091413210568,0.196427691018548,0.447496393736073,0
"PRED",0.986786201032797,0.598203498404424,0.0461684555877385,96.89662027833,0.673705158135434,0.0132137989672031,0.529264953127727,0.319327301406691,0.801127518450831,0.0586805102422889,0.574771775069345,0.25828186412128,0.940695296523517,0.149690855841198,0.656063618290258,0.950074654721911,0.143279508717455,0.196553867103803,0.114512922465209
"TOP3",0.986898733385848,0.600060442522552,0.0461883435378769,96.8974155069583,0.670519844089363,0.0131012666141516,0.531626905919084,0.272394493436785,0.893690467134457,0.063388688579057,0.577952189643844,0.267989381025569,0.948565776458952,0.156036446469248,0.647713717693837,0.956781392424957,0.144042923549501,0.200252738302382,0.11610337972167
"ALL",0.987556422471461,0.644356268058099,0.0470170747299752,96.8079522862823,0.679843600966596,0.0124435775285395,0.580310039771986,0.340799671407179,0.827832705199642,0.161491937830411,0.622492452016678,0.377844461115279,0.815874730021598,0.245850959973967,0.538767395626243,0.829554124940391,0.194695521171938,0.289578810559105,0.15427435387674
