"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","Nlbst","NSlbst","Mfreq","LCard","LDen","Mir","Scl","Lfq","IRLbl","LScl"
"Brown Creeper",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0217391304347826,0.978260869565217,0.5,0.67636300809148,3.39800712995482,3.3262910377623,33.341051259452,32.1280681262791,0.279066655011146,0.976555398737319,1,0.104732439105087,0.151096970517114,0.476219319909261,0.168209641304997,0.116583956167976,0.00396350348210667,26.4242076682672,119.151104208477,0.493788819875776,NA,0.972049689440994,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.0217391304347826,9.14285714285714,0.0893868579472945
"Pacific Wren",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.108695652173913,0.891304347826087,0.5,0.553387915711211,4.61828723422233,4.5376416919254,41.6834981956922,40.3111135172677,0.207577269239891,0.988810417348673,1,0.343779563944592,0.495969072061833,0.476219319909261,0.168209641304997,0.355147704169293,0.0170363938857087,20.1791274756201,26.9530587930786,0.515527950310559,NA,0.950310559006211,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.108695652173913,1.82857142857143,0.0605468469857083
"Pacific-slope Flycatcher",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0652173913043478,0.934782608695652,0.5,0.614875461901346,4.17681643547861,4.11082611438261,35.9534544685308,34.7745608311923,0.209130773723486,0.990261560435278,1,0.241088312992845,0.347816913571064,0.476219319909261,0.168209641304997,0.25284672793007,0.00771028114773057,31.2684204860425,60.7641965039668,0.195652173913043,NA,0.91304347826087,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.0652173913043478,3.04761904761905,0.107050380316603
"Red-breasted Nuthatch",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0124223602484472,0.987577639751553,0.5,0.689538910846509,3.33095080934025,3.25100670103822,33.2085872686806,31.9834485263397,0.306363840540654,0.962398570985201,1,0.066857392846968,0.096454829107086,0.476219319909261,0.168209641304997,0.0787995061565718,0.00345385476725095,19.3573260465095,136.880528279509,0.732919254658385,NA,0.987577639751553,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.0124223602484472,16,0.204663088962075
"Dark-eyed Junco",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0403726708074534,0.959627329192547,0.5,0.650011202581423,3.89148588614308,3.82224385503836,34.9289576137112,33.7205261442081,0.246363569687353,0.984295586278295,1,0.169126712599057,0.243998269548512,0.476219319909261,0.168209641304997,0.180947043582985,0.00704501147835364,24.0065914894123,66.5966705480159,0.254658385093168,NA,0.962732919254658,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.0403726708074534,4.92307692307692,0.10909360190538
"Olive-sided Flycatcher",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0248447204968944,0.975155279503106,0.5,0.671971040506471,3.76805365799737,3.6957454308885,33.985934040749,32.7862942333877,0.257697070137029,0.990081334261346,1,0.116337477505184,0.167839501866261,0.476219319909261,0.168209641304997,0.128195766824712,0.0043627497722656,26.6660898694563,108.155772108827,0.319875776397516,NA,0.962732919254658,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.0248447204968944,8,0.186502987088715
"Hermit Thrush",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.077639751552795,0.922360248447205,0.5,0.597307591561307,4.22070276697474,4.15085531495921,37.2428146778547,36.0285809912445,0.227444715535158,0.975868194560278,1,0.272966636084449,0.393807612207178,0.476219319909261,0.168209641304997,0.284738257654383,0.00826828041025591,33.0137129536468,56.5959324406273,0.254658385093168,NA,0.922360248447205,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.077639751552795,2.56,0.0728872543110791
"Chestnut-backed Chickadee",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0683229813664596,0.93167701863354,0.5,0.610483494316336,4.18906158391692,4.12720774330869,36.2091283874359,35.0376780502979,0.213528793556812,0.976714698901735,1,0.249279258678746,0.359633950292305,0.476219319909261,0.168209641304997,0.261145585337239,0.00723572230710987,34.4511920301036,64.8150354168962,0.263975155279503,NA,0.922360248447205,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.0683229813664596,2.90909090909091,0.0870941463189006
"Varied Thrush",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.0900621118012422,0.909937888198758,0.5,0.579739721221269,4.35676368688491,4.29703693578999,37.4293456476275,36.3111787931254,0.213515654291909,0.988955534807974,1,0.302681503582891,0.436677104187851,0.476219319909261,0.168209641304997,0.314227557581966,0.0076749574935,39.4375478742696,61.0484635012737,0.260869565217391,NA,0.903726708074534,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.0900621118012422,2.20689655172414,0.0769483413404568
"Hermit Warbler",2,260,258,2,322,0.807453416149068,0.992307692307692,0.00769230769230769,2,12,5.33333333333333,5.77350269189626,16,0.077639751552795,0.922360248447205,0.5,0.597307591561307,4.49381658312201,4.4233840333838,36.8362340395627,35.682965202764,0.222236726780069,0.964769048975183,1,0.272966636084449,0.393807612207178,0.476219319909261,0.168209641304997,0.284795977891023,0.00761794096379549,35.8320755413743,61.5128656381704,0.301242236024845,NA,0.897515527950311,89,55,143,1.05900621118012,0.0557371690094802,6.10294156740618,0.0362280496506709,0.077639751552795,2.56,0.0755672795108852
