"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","Nlbst","NSlbst","Mfreq","LCard","LDen","Mir","Scl","Lfq","IRLbl","LScl"
"A.A8",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0160284951024043,0.983971504897596,0.5,0.684439066028297,3.18759811256585,3.18759811256585,12.5243830192491,12.5243830192491,0.425120442780802,0.891521150938962,1,0.0821513233413569,0.118519306787041,0.270881030747285,0.0768160342246261,0.0821513233413553,0.000284532207081784,288.724163018016,951.022386237016,0.0160284951024043,0.997328584149599,0.966162065894924,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0160284951024043,33.3333333333333,0.466107592227654
"C.C9",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.03739982190561,0.96260017809439,0.5,0.654215445817296,3.60288210364932,3.60288210364932,16.3370003394433,16.3370003394433,0.287493710954411,0.990063168924079,1,0.159590718909516,0.230240738742663,0.270881030747285,0.0768160342246261,0.159590718909516,0.000856049314826291,186.42701552994,315.431572405676,0.0783615316117542,1,0.941228851291184,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.03739982190561,14.2857142857143,0.479608837564973
"B.B12",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.00267141585040071,0.997328584149599,0.5,0.703328828660172,2.08690260185317,2.08690260185317,8.0442695720744,8.0442695720744,0.368146696356901,0.911777355640121,1,0.0184963751571061,0.0266846287135788,0.270881030747285,0.0768160342246261,0.0184963751571061,0.000303185647122401,61.0067637853544,892.449387589004,0.00267141585040071,0.999109528049866,0.997328584149599,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.00267141585040071,200,0.780171269297182
"C.C11",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.01246660730187,0.98753339269813,0.5,0.689476336063463,2.94321309666498,2.94321309666498,11.1692073980534,11.1692073980534,0.345225588628587,0.993546657742237,1,0.0670509275023159,0.0967340405945965,0.270881030747285,0.0768160342246261,0.0670509275023154,0.000567748864364223,118.099624166401,476.114174504996,0.01246660730187,1,0.975957257346394,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.01246660730187,42.8571428571429,0.630572375762364
"C.C5",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.068566340160285,0.931433659839715,0.5,0.610139333009586,3.54718559009995,3.54718559009995,15.7428621062798,15.7428621062798,0.340459290724957,0.964514099836561,1,0.24991462725817,0.360550593390976,0.270881030747285,0.0768160342246261,0.249914627258166,0.000594834510057902,420.141439396048,454.388895847547,0.306322350845948,0.993766696349065,0.915405164737311,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.068566340160285,7.79220779220779,0.39103654966024
"C.C7",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0525378450578807,0.947462154942119,0.5,0.632807048167836,3.71476714526046,3.71476714526046,17.3101719404466,17.3101719404466,0.365702026650903,0.981898388389673,1,0.205921036692379,0.297081258450809,0.270881030747285,0.0768160342246261,0.205921036692381,0.000703162494307718,292.849858118661,384.232478893765,0.177203918076581,0.998219056099733,0.951024042742654,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0525378450578807,10.1694915254237,0.417043787704539
"B.B2",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.465716829919858,0.534283170080142,0.5,0.048483724088481,3.65950639240601,3.65950639240601,17.5044805073443,17.5044805073443,0.345671107332207,0.966991096177718,1,0.690794663700471,0.996606035593229,0.270881030747285,0.0768160342246261,0.690794663700455,0.00418130108970243,165.210456956027,63.7839093468782,0.572573463935886,0.981300089047195,0.682991985752449,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.534283170080142,1,0.350303935943259
"B.B3",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0267141585040071,0.973285841495993,0.5,0.669327255922796,3.54739692452086,3.54739692452086,15.4364613084642,15.4364613084642,0.413706184208698,0.954093568419707,1,0.123127798881968,0.177635864842589,0.270881030747285,0.0768160342246261,0.123127798881967,0.000370707781305591,332.142472025609,729.713096426712,0.0872662511130899,0.997328584149599,0.945681211041852,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0267141585040071,20,0.471662775062456
"D.D16",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.006233303650935,0.993766696349065,0.5,0.698291558625006,2.58082667968688,2.58082667968688,9.46961503737551,9.46961503737551,0.525786117733838,0.910886990143054,1,0.0378656096219423,0.0546285272218136,0.270881030747285,0.0768160342246261,0.0378656096219428,0.000548944829336025,68.9788984218005,492.45765962479,0.006233303650935,0.998219056099733,0.992876224398931,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.006233303650935,85.7142857142857,0.716302817665664
"A.A7",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0142475512021371,0.985752448797863,0.5,0.68695770104588,3.07916768711862,3.07916768711862,12.0122883106102,12.0122883106102,0.356531360360966,0.926972429117981,1,0.0747143349127102,0.107790000461884,0.270881030747285,0.0768160342246261,0.0747143349127114,0.000934106597327905,79.9848059380345,288.989420396092,0.0142475512021371,0.999109528049866,0.890471950133571,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0142475512021371,37.5,0.52110188910067
"D.D1",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.00801424755120214,0.991985752448798,0.5,0.695772923607422,2.72696741272357,2.72696741272357,10.0058698986054,10.0058698986054,0.363202344526831,0.961181596581562,1,0.0466630886486845,0.0673206065860192,0.270881030747285,0.0768160342246261,0.0466630886486852,0.000455871303735893,102.360223743582,593.205049818663,0.00801424755120214,0.999109528049866,0.992876224398931,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.00801424755120214,66.6666666666667,0.582469252476538
"A.A4",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.307212822796082,0.692787177203918,0.5,0.272642240653406,5.21711875790817,5.21711875790817,42.6838673441896,42.6838673441896,0.314263280636465,0.985548852133364,1,0.616852401143957,0.889929900090836,0.270881030747285,0.0768160342246261,0.616852401143957,0.00903099324024571,68.3039378653299,28.9946001000345,0.545859305431879,0.994657168299199,0.731967943009795,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.307212822796082,1.73913043478261,0.13635287849535
"C.C2",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0739091718610864,0.926090828138914,0.5,0.602583427956835,4.18864799125314,4.18864799125314,22.8621576420835,22.8621576420835,0.262971071715244,0.983276736955927,1,0.263635355212215,0.380345419567663,0.270881030747285,0.0768160342246261,0.263635355212216,0.00144705114272659,182.188001120308,186.19520184814,0.156723063223508,0.998219056099733,0.892252894033838,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0739091718610864,7.2289156626506,0.372606228958586
"A.A3",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0863757791629564,0.913624220837044,0.5,0.584952982833751,3.72810386657026,3.72810386657026,16.9306645368674,16.9306645368674,0.419529696110887,0.968922472888518,1,0.294071519908041,0.424255523438011,0.270881030747285,0.0768160342246261,0.29407151990804,0.000913963223046826,321.75421558836,295.380668189541,0.177203918076581,0.996438112199466,0.849510240427427,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0863757791629564,6.18556701030928,0.346001604892824
"A.A1",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.489759572573464,0.510240427426536,0.5,0.0144821513511047,4.53691576190702,4.53691576190702,32.5947002003435,32.5947002003435,0.338294208300676,0.979157714218225,1,0.692937433187125,0.999697398505393,0.270881030747285,0.0768160342246261,0.692937433187126,0.013901460600795,49.8463760813375,18.485796386877,0.666073018699911,0.991095280498664,0.650044523597507,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.510240427426536,1.04712041884817,0.401035686437944
"D.D9",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.00445235975066785,0.995547640249332,0.5,0.700810193642589,2.26382394548328,2.26382394548328,8.61776221944746,8.61776221944746,0.492351320911712,0.923158827869076,1,0.0285489383398758,0.0411874117655836,0.270881030747285,0.0768160342246261,0.028548938339875,0.00109116580860608,26.1637031830624,247.249192387474,0.832591273374889,0.999109528049866,0.994657168299199,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.00445235975066785,120,0.754536693100083
"D.D19",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.00534283170080142,0.994657168299199,0.5,0.699550876133797,2.36837110848797,2.36837110848797,8.91715151063149,8.91715151063149,0.490576113451994,0.872707358136781,1,0.0332822259978682,0.0480161023968702,0.270881030747285,0.0768160342246261,0.0332822259978688,0.000934859246506631,35.6013230036894,288.755951775104,0.615316117542297,0.998219056099733,0.982190560997329,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.00534283170080142,100,0.70112656393899
"B.B8",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0115761353517364,0.988423864648264,0.5,0.690735653572255,2.93166561388274,2.93166561388274,11.1039122757338,11.1039122757338,0.349369959954068,0.897078460553565,1,0.0631246552486111,0.0910696270849967,0.270881030747285,0.0768160342246261,0.0631246552486129,0.00064393325574991,98.0298108304681,419.666316467571,0.0115761353517364,0.997328584149599,0.978628673196794,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0115761353517364,46.1538461538462,0.534445263159726
"D.D12",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0213713268032057,0.978628673196794,0.5,0.676883160975546,3.31527033693174,3.31527033693174,13.6176972496585,13.6176972496585,0.416945766683738,0.957928785679406,1,0.103329136556849,0.149072432889904,0.270881030747285,0.0768160342246261,0.103329136556851,0.000342077841617547,302.063226510807,790.869562396672,0.0213713268032057,0.997328584149599,0.975957257346394,545,415,110,3.38646482635797,0.0651243235838071,70.0153032193562,0.304870280833677,0.0213713268032057,25,0.457593922624315
