"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.995160990135864,0.96105527638191,0.397586766094876,4.80904522613065,0.998188405797101,0.00483900986413549,0.821828959791923,0.953548875080627,1,0.724115159531826,0.946938775510204,0.943965517241379,1,0.893877551020408,0.0753768844221105,1,0.864371859296482,0.922110552763819,0.919597989949749
"NB",0.22929462125442,0.598635195006727,0.310581622661836,5.71859296482412,0.102824538363101,0.77070537874558,0.5,0.108512943874996,0.0550479671082686,0.833333333333333,0.58846309974848,0.104261302184729,0.0550479671082686,0.983673469387755,1,0.0550479671082686,0.177048230215152,0.991624790619765,0
"RF",0.998138842359948,0.990577889447236,0.404170741739227,4.73869346733668,0.987628619286911,0.00186115764005211,0.805555555555556,0.980392156862745,1,0.6875,0.979591836734694,0.979166666666667,1,0.959183673469388,0,1,0.915046974000437,0.981155778894472,0.954773869346734
"DT",0.99534710589987,0.991459863419663,0.444997164757861,4.67336683417085,0.959798994974874,0.00465289410013028,0.851755401234568,0.996491228070175,0.94375,0.791666666666667,0.985902527937852,0.950298210735587,0.926356589147287,0.975510204081633,0.0954773869346734,0.952261306532663,0.913009062406047,0.986599664991625,0.884422110552764
"KNN_1",0.998697189651964,0.993203195464502,0.406172086988059,4.72361809045226,0.989112227805695,0.00130281034803648,0.851757849219778,1,0.95,0.791666666666667,0.98765759814066,0.985567010309278,0.995833333333333,0.975510204081633,0.0050251256281407,0.99748743718593,0.916395223983164,0.986599664991625,0.969849246231156
"KNN_3",0.998883305415969,0.994556113902847,0.405330099632622,4.71859296482412,0.992701603254367,0.00111669458403127,0.861111111111111,0.983333333333333,1,0.8125,0.987755102040816,0.987603305785124,1,0.975510204081633,0,1,0.918345107178404,0.989112227805695,0.974874371859296
"KNN_5",0.999069421179974,0.993299832495812,0.405790275972196,4.72361809045226,0.994107744107744,0.000930578820026056,0.869212962962963,0.998387096774194,1,0.830729166666667,0.989795918367347,0.989690721649485,1,0.979591836734694,0.0050251256281407,1,0.913975432719151,0.986599664991625,0.979899497487437
"KNN_7",0.998883305415969,0.992462311557789,0.405744181642182,4.7286432160804,0.993097643097643,0.00111669458403127,0.850694444444444,0.99830220713073,1,0.7890625,0.987755102040816,0.987603305785124,1,0.975510204081633,0.0050251256281407,1,0.913417085427136,0.984924623115578,0.974874371859296
"RANDOM",0.782579564489112,0.867904418173044,0.28968505018311,8.66984924623116,0.281992414586386,0.217420435510888,0.726278615074911,0.713661559389586,0.696829682591541,0.729960217251884,0.856557594956859,0.285031460645733,0.168400963343581,0.937959183673469,0.995477386934673,0.164733715474921,0.69488485040801,0.960594639865997,0
"TOP3",0.999069421179974,0.994974874371859,0.406162942111194,4.72361809045226,0.993132328308208,0.000930578820026056,0.865740740740741,0.992857142857143,1,0.822916666666667,0.989795918367347,0.989690721649485,1,0.979591836734694,0,1,0.918442211055276,0.989949748743719,0.979899497487437
"ALL",0.999255536943979,0.995812395309883,0.406209036441208,4.71859296482412,0.994137353433836,0.000744463056020845,0.87037037037037,1,1,0.833333333333333,0.991836734693878,0.991769547325103,1,0.983673469387755,0,1,0.919000558347292,0.991624790619765,0.984924623115578
