"","error","precision","recall","fscore","accuracy","balancedaccuracy","auc","majority","examples","Accuracy","AUC","Recall","Precision","AveragePrecision","FMeasure","HammingLoss","SubsetAccuracy","MacroFMeasure","MicroFMeasure","Accuracy","AUC","Recall","Precision","AveragePrecision","FMeasure","HammingLoss","SubsetAccuracy","MacroFMeasure","MicroFMeasure"
"birds",0.473684210526316,0.333333333333333,0.175438596491228,0.229885057471264,0.526315789473684,0.5,0,0.526315789473684,19,-4.44089209850063e-16,-1.11022302462516e-16,4.16333634234434e-17,0,-1.66533453693773e-16,-2.22044604925031e-16,4.16333634234434e-17,5.55111512312578e-17,-3.33066907387547e-16,-3.05311331771918e-16,0.952582695127913,0.285044719642243,0.0712209302325581,0.88,0.255877130305635,0.681818181818182,0.0474173048720873,0.479876160990712,0.258393552404442,0.146627565982405
"CAL500",0.0919540229885057,0.333333333333333,0.302681992337165,0.317269076305221,0.908045977011494,0.5,0,0.908045977011494,174,2.22044604925031e-16,-1.11022302462516e-16,-1.66533453693773e-16,-4.44089209850063e-16,-1.38777878078145e-16,-3.88578058618805e-16,-1.94289029309402e-16,0,1.11022302462516e-16,4.44089209850063e-16,0.863239039163053,0.598467281422151,0.219005564272226,0.630449141676687,0.230160109768696,0.320319872724192,0.136760960836947,0,0.450797328391545,0.316006884681583
"corel5k",0.0485175202156334,0.333333333333333,0.317160826594789,0.325046040515654,0.951482479784367,0.5,0,0.951482479784367,371,1.11022302462516e-16,0,-3.46944695195361e-17,-3.33066907387547e-16,2.77555756156289e-16,-1.11022302462516e-16,-5.20417042793042e-18,0,8.32667268468867e-17,6.93889390390723e-18,0.990663101604278,0.511268541238947,0.0226666666666667,0.612903225806452,0.119231762102612,0.455263157894737,0.00933689839572193,0,0.223549564941755,0.0448577680525164
"emotions",1,0,0,0,0,0.25,0,0,6,2.22044604925031e-16,0.0122937293729376,0.044554455445545,-0.120884473017729,-0.000412541254124932,0.02202818627451,-2.77555756156289e-16,0.0297029702970297,0.0582742316784867,0.0515204140702152,0.706270627062706,0.559323432343234,0.134488448844884,0.822033898305085,0.521397139713971,0.66078431372549,0.293729372937294,0.0297029702970297,0.230921671830763,0.239316239316239
"enron",0.307692307692308,0.391208791208791,0.434042553191489,0.37940379403794,0.692307692307692,0.549802485096603,0,0.673076923076923,52,0.000521393423925653,0.0169611254226681,0.0352783946048197,-0.018814165042235,0.00148539958739738,0.0135716592128478,-0.00052139342392539,0.00690846286701163,0.0336678666907482,0.0196665263855158,0.953824094893603,0.707672489346839,0.424191956575376,0.760851202079272,0.148181406714031,0.62992275625609,0.0461759051063968,0.119170984455959,0.35932370499769,0.525610980917308
"flags",0.857142857142857,0.333333333333333,0.0476190476190476,0.0833333333333333,0.142857142857143,0.5,0,0.714285714285714,7,-0.0131868131868131,-0.03474358974359,-0.0653846153846156,-0.00435897435897392,-0.00956410256410245,-0.0228678046650398,0.0131868131868131,-0.0615384615384613,-0.0187812476573738,-0.0227373249242367,0.756043956043956,0.785641025641026,0.758717948717949,0.735384615384615,0.753068376068376,0.754779083350512,0.243956043956044,0.169230769230769,0.68264681720983,0.744827586206897
"genbase",1,0,0,0,0,0.333333333333333,0,0.52,25,0.00297785222408387,0.0295226130653261,0.0590452261306533,0,0.00658397564435076,-0.0105597865101903,-0.00297785222408338,0.0351758793969847,0.026843281782118,0.0352011494252876,0.995160990135864,0.96105527638191,0.922110552763819,1,0.397586766094876,0.998188405797101,0.00483900986413549,0.919597989949749,0.953548875080627,0.943965517241379
"mediamill",0.455445544554455,0.333333333333333,0.181518151815182,0.235042735042735,0.544554455445545,0.5,0,0.544554455445545,101,0,4.44089209850063e-16,-3.88578058618805e-16,0,3.46944695195361e-17,1.11022302462516e-16,-3.46944695195361e-17,4.16333634234434e-17,2.22044604925031e-16,0,0.96964074601668,0.698611392048508,0.462696811683517,0.787175468209951,0.0539220327544723,0.610956444793454,0.03035925398332,0.0984203190336069,0.319991582741395,0.541509390269319
"medical",0.368421052631579,0.333333333333333,0.210526315789474,0.258064516129032,0.631578947368421,0.5,0,0.631578947368421,38,-2.22044604925031e-16,2.22044604925031e-16,-4.71844785465692e-16,-1.11022302462516e-16,4.71844785465692e-16,-1.11022302462516e-16,1.04083408558608e-17,-1.38777878078145e-16,-1.66533453693773e-16,-2.77555756156289e-16,0.975331610680448,0.568785865297493,0.138242894056848,0.847107438016529,0.190785791846695,0.906148867313916,0.0246683893195521,0.116279069767442,0.310037560037092,0.223427331887202
"scene",0.5,0.333333333333333,0.166666666666667,0.222222222222222,0.5,0.333333333333333,0,0.5,6,0,1.11022302462516e-16,2.22044604925031e-16,2.22044604925031e-16,3.33066907387547e-16,1.11022302462516e-16,1.38777878078145e-17,1.11022302462516e-16,-2.22044604925031e-16,-3.33066907387547e-16,0.914994425863991,0.806772575250836,0.63252508361204,0.886415525114155,0.508096432552954,0.961977186311787,0.0850055741360089,0.584448160535117,0.725758753223778,0.724480578139115
