"","observation","wins","loss","svm","mtl","relevance"
"2","Accuracy",0,1,0.909541873683386,0.908895815585709,FALSE
"21",NA,4,1,0.669241713730489,0.671689236982583,FALSE
"3",NA,4,1,0.409477832107216,0.416651639066348,FALSE
"4",NA,0,2,0.806047358421347,0.794511306958238,TRUE
"5",NA,1,1,0.303266283423605,0.303134009073964,FALSE
"6",NA,3,2,0.704378782176312,0.705088258811183,FALSE
"7",NA,1,0,0.0904581263166137,0.0911041844142908,FALSE
"8",NA,4,1,0.249005003600849,0.250754575423,FALSE
"9",NA,4,1,0.465631029861779,0.475138455721562,FALSE
"10",NA,4,1,0.470903646512059,0.478277633989259,FALSE
"11",NA,0,0,0,0,FALSE
"12",NA,0,0,0,0,TRUE
"13",NA,0,0,0,0,FALSE
"14",NA,0,0,0,0,FALSE
"15",NA,6,1,0,0,FALSE
"16",NA,6,1,0,0,TRUE
"17",NA,0,9,0,0,TRUE
"18",NA,6,1,0,0,TRUE
"19",NA,0,0,0,0,FALSE
"20",NA,0,0,0,0,FALSE
"211",NA,0,0,0,0,FALSE
"22",NA,0,0,0,0,FALSE
"23",NA,6,0,0,0,TRUE
