"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.914994425863991,0.806772575250836,0.508096432552954,2.12207357859532,0.961977186311787,0.0850055741360089,0.803307877252156,0.725758753223778,0.87251940723384,0.626041668387175,0.799085250719032,0.724480578139115,0.876502732240437,0.617397998460354,0.289297658862876,0.886415525114155,0.609322742474916,0.63252508361204,0.584448160535117
"NB",0.75613154960981,0.793833612040134,0.533904682274247,1.75250836120401,0.65599603567889,0.24386845039019,0.779425506426651,0.565841756067482,0.445859186378473,0.81933265934389,0.782452516778721,0.55012853470437,0.412967966036279,0.823710546574288,0.581939799331104,0.482471776589424,0.580392976588629,0.830685618729097,0.176421404682274
"RF",0.909559643255295,0.779034280936455,0.503867056856187,2.17976588628763,0.964838255977497,0.0904403567447046,0.775693096528081,0.682314382093647,0.898088666029182,0.56340216621317,0.771180839228825,0.689325035902346,0.911392405063291,0.554272517321016,0.313545150501672,0.918954248366013,0.551045150501672,0.569816053511706,0.531772575250836
"DT",0.863573021181717,0.769460702341137,0.499484392419175,2.13879598662207,0.87359649122807,0.136426978818283,0.761982417576659,0.620871592995849,0.643871145521511,0.602118740813927,0.759895997274379,0.613196365073094,0.62987012987013,0.59738260200154,0.433946488294314,0.68312101910828,0.552717391304348,0.611622073578595,0.408026755852843
"KNN_1",0.874581939799331,0.788754180602007,0.486907748049052,2.18896321070234,0.954616013071895,0.125418060200669,0.782969946119493,0.653910915784709,0.695599787018781,0.638982056147193,0.781608815985595,0.647335423197492,0.659217877094972,0.635873749037721,0.335284280936455,0.668060200668896,0.62372491638796,0.649665551839465,0.590301003344482
"KNN_3",0.891025641025641,0.797491638795987,0.495310758082497,2.1371237458194,0.961364570489108,0.108974358974359,0.791819521919195,0.6776244317045,0.765996600327022,0.63535661550026,0.789848947299548,0.677126341866226,0.730186999109528,0.63125481139338,0.321070234113712,0.734217749313815,0.623202341137124,0.645903010033445,0.599498327759197
"KNN_5",0.895903010033445,0.796509197324415,0.498341694537347,2.11538461538462,0.966204869857263,0.104096989966555,0.790311713717679,0.682257401112098,0.801823549692306,0.623851322586748,0.788628980316661,0.68334039847393,0.760377358490566,0.620477290223249,0.322742474916388,0.761858664085189,0.614673913043478,0.635869565217391,0.596989966555184
"KNN_7",0.894927536231884,0.789632107023411,0.495582497212932,2.13795986622074,0.967741935483871,0.105072463768116,0.782472811335625,0.672880398777713,0.807767364603693,0.60492255168784,0.780237753075853,0.674157303370786,0.768472906403941,0.600461893764434,0.32943143812709,0.76865671641791,0.601170568561873,0.618729096989967,0.585284280936455
"RANDOM",0.904933110367893,0.803039297658863,0.496283444816054,2.15033444816054,0.955960434838224,0.095066889632107,0.798592664635392,0.706193210142603,0.834216356994276,0.630101735004544,0.7951014661217,0.703707114953977,0.810873637850622,0.622940723633564,0.320484949832776,0.823768692192664,0.612857441471572,0.638419732441472,0.578595317725753
"TOP3",0.916666666666667,0.801776755852843,0.508263656633222,2.12959866220736,0.964456003467707,0.0833333333333333,0.798399436131805,0.719578537861242,0.899097833937108,0.610168814534578,0.793209996616552,0.722634508348794,0.908984830805134,0.599692070823711,0.295986622073579,0.917270531400966,0.596112040133779,0.616638795986622,0.574414715719064
"ALL",0.918617614269788,0.813357023411371,0.503901895206243,2.13210702341137,0.961187214611872,0.0813823857302118,0.808206652453134,0.737619724021392,0.889829756850027,0.633893542031062,0.805494940349529,0.736462093862816,0.889858233369684,0.628175519630485,0.285117056856187,0.901714285714286,0.61996237458194,0.6438127090301,0.593645484949833
