"","observation","wins","loss","svm","mtl","relevance"
"2","Accuracy",1,3,0.909541873683386,0.907003344256938,FALSE
"21",NA,5,4,0.669241713730489,0.669027319323035,FALSE
"3",NA,5,4,0.409477832107216,0.424199277974105,FALSE
"4",NA,0,7,0.806047358421347,0.721989512700928,TRUE
"5",NA,3,0,0.303266283423605,0.310260296828714,FALSE
"6",NA,4,4,0.704378782176312,0.697236649898629,FALSE
"7",NA,3,1,0.0904581263166137,0.0929966557430619,FALSE
"8",NA,2,4,0.249005003600849,0.245022995783208,FALSE
"9",NA,3,5,0.465631029861779,0.48651220393617,FALSE
"10",NA,4,4,0.470903646512059,0.489397713908126,FALSE
"11",NA,0,7,0,0,TRUE
"12",NA,6,1,0,0,FALSE
"13",NA,0,0,0,0,FALSE
"14",NA,4,2,0,0,FALSE
"15",NA,9,1,0,0,TRUE
"16",NA,0,8,0,0,TRUE
"17",NA,0,7,0,0,TRUE
"18",NA,0,0,0,0,FALSE
"19",NA,3,2,0,0,FALSE
"20",NA,0,0,0,0,FALSE
"211",NA,0,0,0,0,FALSE
"22",NA,0,6,0,0,TRUE
"23",NA,6,4,0,0,FALSE
