"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.96964074601668,0.698611392048508,0.0539220327544723,-Inf,0.610956444793454,0.03035925398332,0.513902741918364,0.319991582741395,0.748868642088967,0.040371298291237,0.703042248264565,0.541509390269319,0.793619548617003,0.41095938559955,0.208997986681121,0.787175468209951,0.145231186274755,0.462696811683517,0.0984203190336069
"NB",0.672933051397133,0.659983817247328,0.0695435218634568,-Inf,0.177414309101581,0.327066948602867,0.630217856805734,0.0955068669202557,0.0623010678920044,0.594220575914098,0.689122390670153,0.158650205112023,0.0893524000364332,0.706859281910687,0.894610500232306,0.0900782102941737,0.134746876507436,0.70718093095245,0
"RF",0.970581470412799,0.710751484959901,0.0540734110344592,-Inf,0.62482630735389,0.0294185295872006,0.526783146666905,0.195121147672578,0.756670069971655,0.0657049662171935,0.715618814107705,0.564069937855739,0.797718508997429,0.436284072336163,0.200634969800217,0.788904081723465,0.153331670605771,0.48824775211767,0.115688400185845
"DT",0.958829698983527,0.705058764736238,0.0543810405550482,-Inf,0.538234151791719,0.041170301016473,0.549174237351069,0.205777495148847,0.221398085763376,0.124723018548791,0.71561371581441,0.48766851440184,0.53341542828519,0.449148521115622,0.444091683444324,0.551126502520423,0.147887932258775,0.489274378781774,0.0345361623044758
"KNN_1",0.957578466534899,0.740453506582254,0.0558004578452257,-Inf,0.58633832245743,0.0424215334651012,0.609143712547075,0.270856245386395,0.243235676605248,0.249707697042576,0.753285237379684,0.521296015919021,0.513376729602617,0.529463454069348,0.431856899488927,0.549971647444637,0.169784568807265,0.568153798122278,0.107867430695369
"KNN_3",0.964313041184868,0.731946905340994,0.0547172904080818,-Inf,0.610809507386187,0.0356869588151319,0.572126368098264,0.255869765227413,0.30417018066079,0.167274724459991,0.740955899587832,0.548179497384028,0.612250650477016,0.496247869105991,0.336146817407465,0.642438984529414,0.165168214660243,0.541779091285072,0.116230447576274
"KNN_5",0.966373127943118,0.725167039095763,0.0541277947550758,-Inf,0.614243753137452,0.033626872056882,0.557670378390918,0.232199630064605,0.392023580287517,0.135367567890295,0.733369816421024,0.553669556722433,0.65762564362898,0.478093530869405,0.29580300449125,0.679267296574989,0.160497315341899,0.524651630058565,0.115068917453926
"KNN_7",0.96722031658021,0.72175020671567,0.0540226006413993,-Inf,0.615211581966584,0.03277968341979,0.54976570102708,0.237691410277338,0.406391340564899,0.118325882821228,0.729267324751385,0.555001613255758,0.680534994129358,0.46856821496986,0.278767229363481,0.696870734721034,0.158048476021892,0.516172071146612,0.1129781632337
"RANDOM",0.96828877095546,0.713746140672862,0.0537852292117491,-Inf,0.61087065222323,0.0317112290445399,0.536800398503895,0.245494704291914,0.494170243541954,0.0891903443683983,0.719627265710994,0.551646074027518,0.720718132401208,0.447196007100051,0.256992411336534,0.727580036079219,0.154584440266415,0.497382505344095,0.0971039182282794
"TOP3",0.965811913388954,0.73465363031224,0.0542619905963964,-Inf,0.61226188293671,0.0341880866110461,0.571146189590533,0.257734194020626,0.39061063157922,0.162924798854891,0.744087702796546,0.561214649794344,0.637607602012297,0.50116869650797,0.329409942697847,0.663736559971667,0.165683498836525,0.546090903963893,0.106086417841103
"ALL",0.914313577865453,0.735286089526197,0.0630147661652009,-Inf,0.393624775289166,0.0856864221345474,0.626619092268463,0.253209993112589,0.284915294372314,0.330428992256441,0.752604748256984,0.369459740025275,0.272071592976975,0.575438041510694,0.826312529038253,0.275433257428006,0.168137832784753,0.605109622500312,0.00727892210004646
