,error,precision,recall,fscore,accuracy,majority,examples,,
birds,0.2105263158,0.5952380952,0.496031746,0.5244755245,0.7894736842,0.7368421053,19,,
CAL500,0.632183908,0.320270924,0.3916666667,0.2018018018,0.367816092,0.6091954023,174,,
corel5k,0.115902965,0.5282432621,0.4433962264,0.4689734415,0.884097035,0.9191374663,371,,
emotions,0.3333333333,0.2666666667,0.2666666667,0.2666666667,0.6666666667,0.8333333333,6,,
enron,0.3076923077,0.5766283525,0.443697479,0.5007183908,0.6923076923,0.5576923077,52,,
flags,0.4285714286,0.5833333333,0.3666666667,0.4444444444,0.5714285714,0.5714285714,7,,
genbase,0.68,0.2051282051,0.2962962963,0.2424242424,0.32,0.52,25,,
mediamill,0.6732673267,0.3419312169,0.3544973545,0.203271432,0.3267326733,0.7128712871,101,,
medical,0.3684210526,0.5833333333,0.4111111111,0.4393939394,0.6315789474,0.6315789474,38,,
scene,0.3333333333,0.3333333333,0.2222222222,0.2666666667,0.6666666667,0.6666666667,6,,
tmc2007-500,0.8181818182,0.0606060606,0.3333333333,0.1025641026,0.1818181818,1,22,,
yeast,0.1428571429,0.5833333333,0.6060606061,0.5857142857,0.8571428571,0.6428571429,14,,
bibtex,0.5157232704,0.3454243717,0.328358209,0.2883333333,0.4842767296,0.4779874214,159,,
total,0.3832997988,0.4295123967,0.3999073155,0.3531243092,0.6167002012,0.7233400402,994,,
,,,,,,,,,
,,,,,,,,,
Accuracy,AUC,Recall,Precision,AveragePrecision,FMeasure,HammingLoss,SubsetAccuracy,MacroFMeasure,MicroFMeasure
0.9520938569,0.3443637569,0.3213178295,0.5300623053,0.2666323255,0.6801482874,0.0479061431,0.4891640867,0.382124238,0.4324324324
0.8363961732,0.6162908166,0.3016584724,0.4421803854,0.2281682849,0.3514708007,0.1636038268,0,0.2800898975,0.354076087
0.9893315508,0.5408103114,0.0836666667,0.2668243954,0.1220514986,0.5038548753,0.0106684492,0.004,0.2384328636,0.128440367
0.7673267327,0.7262376238,0.545379538,0.6604278075,0.6414466447,0.7563063063,0.2326732673,0.2574257426,0.6053525075,0.6094182825
0.9479258318,0.7238442566,0.464530389,0.6505664878,0.1549738772,0.5993465688,0.0520741682,0.1329879102,0.3431001238,0.5104166667
0.7604395604,0.7856410256,0.7797435897,0.7351282051,0.7519358974,0.753935561,0.2395604396,0.1692307692,0.7202225748,0.7539503386
0.9986971897,0.993718593,0.9874371859,1,0.4052840053,0.9916965781,0.0013028103,0.9698492462,0.9824561404,0.9855072464
