"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.756043956043956,0.785641025641026,0.753068376068376,4.09230769230769,0.754779083350512,0.243956043956044,0.613931151905973,0.68264681720983,0.661425203149341,0.595623299824981,0.755624830577392,0.744827586206897,0.743119266055046,0.746543778801843,0.215384615384615,0.735384615384615,0.262051282051282,0.758717948717949,0.169230769230769
"NB",0.47032967032967,0.660384615384615,0.702009768009768,4.70769230769231,0.498061095283317,0.52967032967033,0.582461797435151,0.427017284646652,0.605276687477499,0.562411053887645,0.530699376524803,0.445977011494253,0.444954128440367,0.447004608294931,0.784615384615385,0.44906994047619,0.0871794871794872,0.424102564102564,0.0153846153846154
"RF",0.742857142857143,0.750897435897436,0.743504273504274,4.13846153846154,0.731911278685472,0.257142857142857,0.609443917656307,0.663865569552456,0.637217572729252,0.56266679832106,0.740986717267552,0.72209026128266,0.745098039215686,0.700460829493088,0.230769230769231,0.731025641025641,0.24025641025641,0.693333333333333,0.107692307692308
"DT",0.718681318681319,0.698589743589744,0.736399877899878,4.24615384615385,0.694202213557052,0.281318681318681,0.633320566629541,0.600920438784517,0.642274260131403,0.594445166233882,0.716860937923556,0.696682464454976,0.717073170731707,0.67741935483871,0.384615384615385,0.714918154761905,0.188205128205128,0.660769230769231,0.138461538461538
"KNN_1",0.687912087912088,0.735384615384615,0.727629426129426,4.16923076923077,0.674074074074074,0.312087912087912,0.593981892766246,0.654359082384063,0.563277619825479,0.559037063598888,0.686839251829764,0.669767441860465,0.676056338028169,0.663594470046083,0.384615384615385,0.663589743589744,0.198974358974359,0.672820512820513,0.138461538461538
"KNN_3",0.714285714285714,0.752692307692308,0.763307692307692,4.01538461538462,0.695039682539683,0.285714285714286,0.607838157633759,0.672718262853731,0.607801184990125,0.55936983740105,0.712049335863378,0.688995215311005,0.716417910447761,0.663594470046083,0.246153846153846,0.732051282051282,0.227692307692308,0.681794871794872,0.138461538461538
"KNN_5",0.723076923076923,0.761410256410256,0.760042735042735,4.07692307692308,0.710397501803752,0.276923076923077,0.612970942311388,0.678904093276198,0.607010944463506,0.572119295048467,0.721469232854432,0.702830188679245,0.719806763285024,0.686635944700461,0.246153846153846,0.737948717948718,0.235641025641026,0.712564102564103,0.169230769230769
"KNN_7",0.701098901098901,0.757820512820513,0.743269230769231,4.15384615384615,0.700874962779725,0.298901098901099,0.566764570152135,0.624310036163484,0.536709851317277,0.548885585980424,0.700460829493088,0.686635944700461,0.686635944700461,0.686635944700461,0.338461538461538,0.692051282051282,0.23,0.71,0.123076923076923
"RANDOM",0.674725274725275,0.69651282051282,0.726337606837607,4.28923076923077,0.659678813327875,0.325274725274725,0.599263498779018,0.610844106531723,0.611819917141222,0.56920003787951,0.673644619137978,0.649402431571998,0.668712568086451,0.650230414746544,0.429230769230769,0.663338217338217,0.190128205128205,0.643564102564103,0.0646153846153846
"TOP3",0.764835164835165,0.786282051282051,0.74807264957265,4.09230769230769,0.755386453823954,0.235164835164835,0.630593026650554,0.726174955737969,0.63063702580944,0.634927910558163,0.76524803469775,0.758465011286682,0.743362831858407,0.774193548387097,0.230769230769231,0.735128205128205,0.263076923076923,0.781538461538462,0.153846153846154
"ALL",0.771428571428571,0.799102564102564,0.745910256410256,4.12307692307692,0.767602362914863,0.228571428571429,0.637357095914624,0.729647177960191,0.640749673018861,0.630598906229158,0.77134724857685,0.762557077625571,0.755656108597285,0.769585253456221,0.230769230769231,0.751025641025641,0.270769230769231,0.786153846153846,0.2
