"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.954401637818723,0.5,0.310561148876888,5.72361809045226,NA,0.0455983621812768,0.5,NA,NA,0,0.5,NA,NA,0,1,NA,0,0,0
"NB",0.22929462125442,0.598635195006727,0.310581622661836,5.71859296482412,0.102824538363101,0.77070537874558,0.5,0.108512943874996,0.0550479671082686,0.833333333333333,0.58846309974848,0.104261302184729,0.0550479671082686,0.983673469387755,1,0.0550479671082686,0.177048230215152,0.991624790619765,0
"RF",0.998138842359948,0.990577889447236,0.404170741739227,4.73869346733668,0.987628619286911,0.00186115764005211,0.805555555555556,0.980392156862745,1,0.6875,0.979591836734694,0.979166666666667,1,0.959183673469388,0,1,0.915046974000437,0.981155778894472,0.954773869346734
"DT",0.99534710589987,0.991459863419663,0.444997164757861,4.67336683417085,0.959798994974874,0.00465289410013028,0.851755401234568,0.996491228070175,0.94375,0.791666666666667,0.985902527937852,0.950298210735587,0.926356589147287,0.975510204081633,0.0954773869346734,0.952261306532663,0.913009062406047,0.986599664991625,0.884422110552764
"KNN_1",0.998697189651964,0.993203195464502,0.406172086988059,4.72361809045226,0.989112227805695,0.00130281034803648,0.851757849219778,1,0.95,0.791666666666667,0.98765759814066,0.985567010309278,0.995833333333333,0.975510204081633,0.0050251256281407,0.99748743718593,0.916395223983164,0.986599664991625,0.969849246231156
"KNN_3",0.998883305415969,0.994556113902847,0.405330099632622,4.71859296482412,0.992701603254367,0.00111669458403127,0.861111111111111,0.983333333333333,1,0.8125,0.987755102040816,0.987603305785124,1,0.975510204081633,0,1,0.918345107178404,0.989112227805695,0.974874371859296
"KNN_5",0.999069421179974,0.993299832495812,0.405790275972196,4.72361809045226,0.994107744107744,0.000930578820026056,0.869212962962963,0.998387096774194,1,0.830729166666667,0.989795918367347,0.989690721649485,1,0.979591836734694,0.0050251256281407,1,0.913975432719151,0.986599664991625,0.979899497487437
"KNN_7",0.998883305415969,0.992462311557789,0.405744181642182,4.7286432160804,0.993097643097643,0.00111669458403127,0.850694444444444,0.99830220713073,1,0.7890625,0.987755102040816,0.987603305785124,1,0.975510204081633,0.0050251256281407,1,0.913417085427136,0.984924623115578,0.974874371859296
"AUC",0.959612879210869,0.522613065326633,0.313836883627139,5.68341708542714,0.643891293891294,0.0403871207891308,0.62962962962963,1,1,0.291666666666667,0.557142857142857,0.205128205128205,1,0.114285714285714,0.909547738693467,1,0.017975592246949,0.0452261306532663,0.0050251256281407
"ACC",0.962776847198958,0.579355108877722,0.327403568896086,5.56281407035176,0.902187902187902,0.0372231528010422,0.648148148148148,1,1,0.333333333333333,0.591836734693878,0.310344827586207,1,0.183673469387755,0.814070351758794,1,0.138292358965289,0.158710217755444,0.125628140703518
"TOP3",0.998138842359948,0.990577889447236,0.404170741739227,4.73869346733668,0.987628619286911,0.00186115764005211,0.805555555555556,0.980392156862745,1,0.6875,0.979591836734694,0.979166666666667,1,0.959183673469388,0,1,0.915046974000437,0.981155778894472,0.954773869346734
"ALL",0.999255536943979,0.995812395309883,0.406209036441208,4.71859296482412,0.994137353433836,0.000744463056020845,0.87037037037037,1,1,0.833333333333333,0.991836734693878,0.991769547325103,1,0.983673469387755,0,1,0.919000558347292,0.991624790619765,0.984924623115578
