"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.96964074601668,0.698611392048508,0.0539220327544723,-Inf,0.610956444793454,0.03035925398332,0.513902741918364,0.319991582741395,0.748868642088967,0.040371298291237,0.703042248264565,0.541509390269319,0.793619548617003,0.41095938559955,0.208997986681121,0.787175468209951,0.145231186274755,0.462696811683517,0.0984203190336069
"NB",0.672933051397133,0.659983817247328,0.0695435218634568,-Inf,0.177414309101581,0.327066948602867,0.630217856805734,0.0955068669202557,0.0623010678920044,0.594220575914098,0.689122390670153,0.158650205112023,0.0893524000364332,0.706859281910687,0.894610500232306,0.0900782102941737,0.134746876507436,0.70718093095245,0
"RF",0.970581470412799,0.710751484959901,0.0540734110344592,-Inf,0.62482630735389,0.0294185295872006,0.526783146666905,0.195121147672578,0.756670069971655,0.0657049662171935,0.715618814107705,0.564069937855739,0.797718508997429,0.436284072336163,0.200634969800217,0.788904081723465,0.153331670605771,0.48824775211767,0.115688400185845
"DT",0.958829698983527,0.705058764736238,0.0543810405550482,-Inf,0.538234151791719,0.041170301016473,0.549174237351069,0.205777495148847,0.221398085763376,0.124723018548791,0.71561371581441,0.48766851440184,0.53341542828519,0.449148521115622,0.444091683444324,0.551126502520423,0.147887932258775,0.489274378781774,0.0345361623044758
"KNN_1",0.957578466534899,0.740453506582254,0.0558004578452257,-Inf,0.58633832245743,0.0424215334651012,0.609143712547075,0.270856245386395,0.243235676605248,0.249707697042576,0.753285237379684,0.521296015919021,0.513376729602617,0.529463454069348,0.431856899488927,0.549971647444637,0.169784568807265,0.568153798122278,0.107867430695369
"KNN_3",0.964313041184868,0.731946905340994,0.0547172904080818,-Inf,0.610809507386187,0.0356869588151319,0.572126368098264,0.255869765227413,0.30417018066079,0.167274724459991,0.740955899587832,0.548179497384028,0.612250650477016,0.496247869105991,0.336146817407465,0.642438984529414,0.165168214660243,0.541779091285072,0.116230447576274
"KNN_5",0.966373127943118,0.725167039095763,0.0541277947550758,-Inf,0.614243753137452,0.033626872056882,0.557670378390918,0.232199630064605,0.392023580287517,0.135367567890295,0.733369816421024,0.553669556722433,0.65762564362898,0.478093530869405,0.29580300449125,0.679267296574989,0.160497315341899,0.524651630058565,0.115068917453926
"KNN_7",0.96722031658021,0.72175020671567,0.0540226006413993,-Inf,0.615211581966584,0.03277968341979,0.54976570102708,0.237691410277338,0.406391340564899,0.118325882821228,0.729267324751385,0.555001613255758,0.680534994129358,0.46856821496986,0.278767229363481,0.696870734721034,0.158048476021892,0.516172071146612,0.1129781632337
"AUC",0.964054667817719,0.707389466047922,0.0531637198795338,-Inf,0.568142846226674,0.0359453321822813,0.527749943309658,0.197588262659037,0.745523401265267,0.0741894566375225,0.712323961161487,0.514467388827903,0.626282746274678,0.436530113706262,0.356125135511848,0.642340632917971,0.152041516922066,0.48820288501247,0.0594703422642094
"ACC",0.735878017103244,0.663676035958974,0.0853145333853398,-Inf,0.190012241152223,0.264121982896756,0.616397532778858,0.113870476082038,0.111755026633426,0.494139074263106,0.688283775664443,0.173651689166499,0.100549735965621,0.636139962390819,0.89251974601208,0.10256138711692,0.138593047721492,0.645280132728609,0
"RANDOM",0.874212727916744,0.688454039270701,0.0627241236892934,-Inf,0.292792464155188,0.125787272083256,0.556518581213926,0.147698088767847,0.347055958742776,0.229215331434622,0.700975824165964,0.262488299321141,0.176939359581593,0.511179065394281,0.871890971039182,0.180369796581116,0.146997724099472,0.546239797351189,0.000371689639151309
"PRED",0.970574570233855,0.710601243220485,0.0540890585993203,-Inf,0.624729828237651,0.0294254297661453,0.525092715958813,0.199417963878811,0.760188966635172,0.0623210306744992,0.715506183932673,0.563883459842734,0.797736552744108,0.436055605349642,0.200789840483197,0.788942517379191,0.153149206417106,0.487930753635312,0.115068917453926
"TOP3",0.970604471009281,0.710157314118676,0.0540192632620154,-Inf,0.62434430605491,0.0293955289907185,0.526540521444642,0.205991875421866,0.847823195977009,0.0651069967228386,0.714741884597777,0.56320987935611,0.800537599585465,0.434421187676842,0.196763202725724,0.791305566680016,0.153112499340857,0.486892449778371,0.115456094161375
"ALL",0.970675006171827,0.713189651193074,0.0541875473418809,-Inf,0.625538046356082,0.0293249938281733,0.539200093522494,0.255550663908077,0.78961367695491,0.0905424560293775,0.716799874215015,0.566185393959328,0.798260202123577,0.43865661411926,0.195059625212947,0.79039255491435,0.156247197426127,0.493338160420719,0.117624283723091
