"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.975331610680448,0.568785865297493,0.190785791846695,22.5085271317829,0.906148867313916,0.0246683893195521,0.513218135816533,0.310037560037092,0.807134894091416,0.0314458064458064,0.564038418954827,0.223427331887202,0.844262295081967,0.12875,0.803100775193798,0.847107438016529,0.128035993611981,0.138242894056848,0.116279069767442
"NB",0.403824289405685,0.692040235469116,0.181116086535828,18.0651162790698,0.0828610935584255,0.596175710594315,0.5,0.0806695179702404,0.043078626799557,0.692307692307692,0.680102967227635,0.0825026511134677,0.043078626799557,0.9725,0.951937984496124,0.043078626799557,0.336516104931465,0.978552971576227,0
"RF",0.983600344530577,0.744182339504135,0.199305822661746,22.1906976744186,0.927938342967245,0.0163996554694229,0.556845173310405,0.604459207416466,0.918262141220124,0.134358454859691,0.742580823737821,0.621019108280255,0.855263157894737,0.4875,0.458914728682171,0.867609254498715,0.435466891740553,0.490697674418605,0.42015503875969
"DT",0.9871834625323,0.850265772926671,0.19779109152906,21.9953488372093,0.913374485596708,0.0128165374677003,0.616689646989991,0.736898309110184,0.753220549809104,0.275161071311159,0.847054362267493,0.750335570469799,0.810144927536232,0.69875,0.303875968992248,0.84016139044072,0.625086087119619,0.705167958656331,0.567441860465116
"KNN_1",0.976950904392765,0.768934009023246,0.170039005133261,22.7178294573643,0.878056951423786,0.0230490956072351,0.58869177148474,0.447732513999704,0.431278543937285,0.216997181973685,0.756773139946856,0.556071665560717,0.592644978783593,0.52375,0.431007751937985,0.599673202614379,0.497067210777324,0.548062015503876,0.4
"KNN_3",0.981119724375538,0.752960045483031,0.192502595105775,22.2480620155039,0.911924119241192,0.0188802756244617,0.567428783938789,0.532065452776064,0.767879833365502,0.161625586690842,0.737661647475642,0.583586626139818,0.744186046511628,0.48,0.429457364341085,0.755252100840336,0.469040231046721,0.510594315245478,0.423255813953488
"KNN_5",0.980602928509905,0.730761723703855,0.195380608290121,22.2325581395349,0.914925373134328,0.0193970714900947,0.555596594413844,0.513221602913968,0.881623967612346,0.133665270614859,0.718570084145261,0.556343577620173,0.752665245202559,0.44125,0.475968992248062,0.759302325581395,0.425753933785302,0.465633074935401,0.389147286821705
"KNN_7",0.979672695951766,0.706115723408855,0.190354536281556,22.3100775193798,0.91783723522854,0.0203273040482343,0.542387809732247,0.423764875239442,0.874772324415523,0.102792590956859,0.696229517271922,0.51797385620915,0.747641509433962,0.39625,0.525581395348837,0.748081841432225,0.379864809989202,0.416020671834625,0.348837209302326
"RANDOM",0.979448751076658,0.676456057913603,0.193468576583845,22.326511627907,0.905464735696463,0.0205512489233419,0.545863041933162,0.511257973630591,0.811578674912294,0.109073826461458,0.669879650132861,0.47530794353069,0.797344169643554,0.34225,0.583875968992248,0.804653197039534,0.321792681508744,0.355400516795866,0.293643410852713
"TOP3",0.984392764857881,0.779008660349926,0.199179000895529,22.1612403100775,0.928826530612245,0.0156072351421189,0.579773696504005,0.577262998371788,0.918841427480083,0.188334671879386,0.772137953941541,0.659142212189616,0.827977315689981,0.5475,0.401550387596899,0.842984409799555,0.50374866905424,0.561240310077519,0.48062015503876
"ALL",0.856158484065461,0.824330514446794,0.163230056171507,24.3162790697674,0.264696076156335,0.143841515934539,0.639564621988847,0.501172364151858,0.604684394566328,0.482764557149939,0.816122121346324,0.228708664326621,0.134185996097984,0.77375,0.644961240310078,0.13083548664944,0.609474642898115,0.790180878552972,0
