"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.914994425863991,0.806772575250836,0.508096432552954,2.12207357859532,0.961977186311787,0.0850055741360089,0.803307877252156,0.725758753223778,0.87251940723384,0.626041668387175,0.799085250719032,0.724480578139115,0.876502732240437,0.617397998460354,0.289297658862876,0.886415525114155,0.609322742474916,0.63252508361204,0.584448160535117
"NB",0.75613154960981,0.793833612040134,0.533904682274247,1.75250836120401,0.65599603567889,0.24386845039019,0.779425506426651,0.565841756067482,0.445859186378473,0.81933265934389,0.782452516778721,0.55012853470437,0.412967966036279,0.823710546574288,0.581939799331104,0.482471776589424,0.580392976588629,0.830685618729097,0.176421404682274
"RF",0.909559643255295,0.779034280936455,0.503867056856187,2.17976588628763,0.964838255977497,0.0904403567447046,0.775693096528081,0.682314382093647,0.898088666029182,0.56340216621317,0.771180839228825,0.689325035902346,0.911392405063291,0.554272517321016,0.313545150501672,0.918954248366013,0.551045150501672,0.569816053511706,0.531772575250836
"DT",0.863573021181717,0.769460702341137,0.499484392419175,2.13879598662207,0.87359649122807,0.136426978818283,0.761982417576659,0.620871592995849,0.643871145521511,0.602118740813927,0.759895997274379,0.613196365073094,0.62987012987013,0.59738260200154,0.433946488294314,0.68312101910828,0.552717391304348,0.611622073578595,0.408026755852843
"KNN_1",0.874581939799331,0.788754180602007,0.486907748049052,2.18896321070234,0.954616013071895,0.125418060200669,0.782969946119493,0.653910915784709,0.695599787018781,0.638982056147193,0.781608815985595,0.647335423197492,0.659217877094972,0.635873749037721,0.335284280936455,0.668060200668896,0.62372491638796,0.649665551839465,0.590301003344482
"KNN_3",0.891025641025641,0.797491638795987,0.495310758082497,2.1371237458194,0.961364570489108,0.108974358974359,0.791819521919195,0.6776244317045,0.765996600327022,0.63535661550026,0.789848947299548,0.677126341866226,0.730186999109528,0.63125481139338,0.321070234113712,0.734217749313815,0.623202341137124,0.645903010033445,0.599498327759197
"KNN_5",0.895903010033445,0.796509197324415,0.498341694537347,2.11538461538462,0.966204869857263,0.104096989966555,0.790311713717679,0.682257401112098,0.801823549692306,0.623851322586748,0.788628980316661,0.68334039847393,0.760377358490566,0.620477290223249,0.322742474916388,0.761858664085189,0.614673913043478,0.635869565217391,0.596989966555184
"KNN_7",0.894927536231884,0.789632107023411,0.495582497212932,2.13795986622074,0.967741935483871,0.105072463768116,0.782472811335625,0.672880398777713,0.807767364603693,0.60492255168784,0.780237753075853,0.674157303370786,0.768472906403941,0.600461893764434,0.32943143812709,0.76865671641791,0.601170568561873,0.618729096989967,0.585284280936455
"AUC",0.915551839464883,0.808110367892977,0.50564381270903,2.13210702341137,0.960858585858586,0.0844481605351171,0.804647742744781,0.727825864140381,0.873675563389996,0.628554231201245,0.80032506255057,0.726534296028881,0.877862595419847,0.619707467282525,0.289297658862876,0.889142857142857,0.611329431438127,0.635033444816054,0.584448160535117
"ACC",0.914994425863991,0.806772575250836,0.508096432552954,2.12207357859532,0.961977186311787,0.0850055741360089,0.803307877252156,0.725758753223778,0.87251940723384,0.626041668387175,0.799085250719032,0.724480578139115,0.876502732240437,0.617397998460354,0.289297658862876,0.886415525114155,0.609322742474916,0.63252508361204,0.584448160535117
"RANDOM",0.861858974358974,0.795461956521739,0.51848104793757,2.0116220735786,0.860965751067295,0.138141025641026,0.787199900522402,0.655756216366087,0.731987727710254,0.667655474343732,0.782716335375584,0.638226105162441,0.636713960165916,0.658660508083141,0.405602006688963,0.692802096302143,0.601732859531773,0.675,0.428929765886288
"TOP3",0.9041248606466,0.823432274247492,0.497895763656633,2.14046822742475,0.944856921887084,0.0958751393534002,0.818437013493026,0.726618288544965,0.794094135555688,0.682232662401433,0.814636931617009,0.718032786885246,0.767747589833479,0.674364896073903,0.306020066889632,0.789952153110048,0.65873745819398,0.691471571906355,0.602006688963211
"ALL",0.871655518394649,0.834719899665552,0.518436454849498,1.8628762541806,0.840084388185654,0.128344481605351,0.825166802159554,0.728125416121664,0.757556859136817,0.757462869906681,0.829294808391109,0.682741991043748,0.61783042394015,0.762894534257121,0.408026755852843,0.675143808658795,0.675438963210702,0.77257525083612,0.423913043478261
