"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.960422366950557,0.884805484438904,0.289682960636349,11.8236540907164,0.824503136645887,0.0395776330494431,0.790609649407697,0.688919653993565,0.925949185642871,0.608852186539879,0.86522724856926,0.790507921397974,0.840393234061009,0.746213093709884,0.120389995760916,0.844995238095238,0.459866184924563,0.785019995469338,0.459799350007065
"NB",0.290627769856256,0.602832440846848,0.283010787578183,11.2965946022326,0.216098415992138,0.709372230143744,0.603587170938601,0.195775820853503,0.130272905099444,0.977855666756418,0.58262752090939,0.210966243972138,0.118694481289441,0.947689345314506,0.959022184541472,0.124220169687007,0.111863355502235,0.952987657311523,0
"RF",0.996416046861151,0.984999272237397,0.304788971861806,11.3850501624982,0.984832170332598,0.00358395313884928,0.977908210873534,0.976964993200509,0.998831177738311,0.95639078402451,0.983404525744423,0.981820551247801,0.996956464205373,0.967137355584082,0.0104564080825208,0.99576813655761,0.554170972754978,0.970317774323709,0.943196269605765
"DT",0.973724099836859,0.912421414763,0.297046103322231,11.6709057510244,0.881953222806765,0.0262759001631405,0.832357076558268,0.765929773863776,0.927806717857621,0.676352525239385,0.899943558704618,0.860179773744831,0.919950288763798,0.807702182284981,0.0962272149215769,0.927449490217308,0.482863561034885,0.832517702102272,0.580754557015685
"KNN_1",0.999004457461431,0.99658748397063,0.303287184079475,11.3525505157553,0.996607985970592,0.000995542538569245,0.995949604945415,0.993676088664733,0.995251944035547,0.99216011880233,0.995881391043343,0.995010461934653,0.998062641265741,0.991976893453145,0.00268475342659319,0.996938439074938,0.566519662552928,0.993387028401865,0.990250105977109
"KNN_3",0.955296928590697,0.854217030618102,0.300579236299262,11.8503603221704,0.813292154741067,0.0447030714093029,0.73880158236267,0.610374735967243,0.874413692460046,0.501622392462576,0.838105725590805,0.755875131532796,0.833333333333333,0.691591784338896,0.173519853045076,0.837452637714952,0.420746730119757,0.723562299961198,0.411897696764166
"KNN_5",0.947011445527766,0.823080372369678,0.303461775751915,11.9985869718807,0.779283399153423,0.052988554472234,0.681824657248225,0.495457688973765,0.855388580675187,0.391998210455525,0.804550569247638,0.702916816708678,0.800656275635767,0.626444159178434,0.207432527907305,0.803381962864722,0.388521429741193,0.663212149350343,0.330931185530592
"KNN_7",0.942862281141213,0.807180507295844,0.307220342510378,12.0028260562385,0.764467184472188,0.0571377188587871,0.652788617809985,0.427827021635839,0.858303151008478,0.336207208733214,0.787641064987921,0.675233644859813,0.782932610904165,0.593581514762516,0.228345344072347,0.78314545634332,0.372222912686367,0.632338886758132,0.301681503461919
"AUC",0.993712024869295,0.973991350839536,0.302632190006979,11.4989402289106,0.9730923734373,0.0062879751307051,0.97408361335549,0.972348403234155,0.996982781230597,0.949476855381091,0.972118478785741,0.96782674422426,0.991649269311065,0.945121951219512,0.0284018651971174,0.990513040985956,0.541437866081104,0.948839242258064,0.886816447647308
"ACC",0.941153801687926,0.893141623786447,0.257911340709589,11.7012858555885,0.743602918277089,0.0588461983120737,0.808565974875803,0.706269480611409,0.898616465257091,0.66084987591993,0.877027040039265,0.730465991998117,0.674288507495112,0.796854942233633,0.315953087466441,0.660513287467962,0.466307745358409,0.828833792006747,0.187508831425745
"RANDOM",0.757984251159325,0.828746771661314,0.254400241157125,12.8056379821958,0.432935558879804,0.242015748840675,0.801120770066165,0.640854121108956,0.697574700786416,0.858846505078478,0.821147735963323,0.435455289161114,0.289602780584119,0.900115532734275,0.81104987989261,0.29228133052635,0.390943404865413,0.914441281952939,0.00105977108944468
"PRED",0.979093606690046,0.923022444700718,0.292182697013306,11.654655927653,0.904043940182859,0.0209063933099541,0.849130698957296,0.77425033569914,0.951796443779091,0.701651005079007,0.908061146358303,0.886912413577459,0.96674998106491,0.819255455712452,0.0638688709905327,0.969498311625663,0.497976510093032,0.849118483529251,0.64872120955207
"TOP3",0.996416046861151,0.984999272237397,0.304788971861806,11.3850501624982,0.984832170332598,0.00358395313884928,0.977908210873534,0.976964993200509,0.998831177738311,0.95639078402451,0.983404525744423,0.981820551247801,0.996956464205373,0.967137355584082,0.0104564080825208,0.99576813655761,0.554170972754978,0.970317774323709,0.943196269605765
"ALL",0.996416046861151,0.984999272237397,0.304788971861806,11.3850501624982,0.984832170332598,0.00358395313884928,0.977908210873534,0.976964993200509,0.998831177738311,0.95639078402451,0.983404525744423,0.981820551247801,0.996956464205373,0.967137355584082,0.0104564080825208,0.99576813655761,0.554170972754978,0.970317774323709,0.943196269605765
