"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.7991120112167,0.736300169901588,0.428314896047928,10.5027262813522,0.678902275885034,0.2008879887833,0.554253604675142,0.532997495103686,0.79556331026109,0.301360813903859,0.729936676331883,0.626069305495143,0.720146764509673,0.553731726083611,0.255179934569248,0.716884769174846,0.134434269535142,0.55940264146371,0.14721919302072
"NB",0.721763514566132,0.725040971387754,0.447792412920061,10.071973827699,0.61348018844432,0.278236485433868,0.593983156835422,0.440068274840969,0.425073889983096,0.499060043845637,0.70150730374212,0.586574074074074,0.534486395275258,0.649910233393178,0.369683751363141,0.557687680670232,0.141323034298965,0.658905419674231,0.0894220283533261
"RF",0.801137248792647,0.746041184672592,0.431790588241294,10.4689203925845,0.688073207280524,0.198862751207353,0.566565723539709,0.410715632768543,0.678040289011878,0.335881170530852,0.739488951949007,0.640169133192389,0.710575719649562,0.582457040266735,0.255179934569248,0.70852417302799,0.141602478677958,0.588106922158176,0.159214830970556
"DT",0.721685620813211,0.68336517172395,0.439741300451562,10.2344601962923,0.576623255911442,0.278314379186789,0.544291220013903,0.424523600313407,0.398068342808012,0.370987729474396,0.673180762571292,0.545362005344191,0.541161616161616,0.549628109771736,0.278080697928026,0.555843091334895,0.117060672965019,0.549343961503176,0.0370774263904035
"KNN_1",0.759464090979903,0.730206138221405,0.470868136983089,9.94111232279171,0.678655204062358,0.240535909020097,0.600245536786098,0.471912712780539,0.440418648700551,0.439738568594516,0.717228058597038,0.606222902320837,0.602840476794319,0.609643498332906,0.293347873500545,0.610472815080231,0.143158865722739,0.610553305291582,0.212649945474373
"KNN_3",0.781741704315314,0.740829631110438,0.461334048955109,10.0545256270447,0.68976384032634,0.218258295684686,0.59516954282976,0.459574511820088,0.505708808043632,0.408920418314337,0.732068520269941,0.627591706539075,0.651310344827586,0.605539882021031,0.273718647764449,0.658545731067757,0.143447208570281,0.607823129251701,0.203925845147219
"KNN_5",0.790310017136626,0.745751679557568,0.460078706959484,10.1624863685932,0.686093036093036,0.209689982863374,0.588136122593338,0.442267911439057,0.550081419106357,0.38829302167849,0.73749830036937,0.635921017040844,0.672675250357654,0.602975121826109,0.272628135223555,0.676266519823788,0.144299854651934,0.605603157293452,0.203925845147219
"KNN_7",0.796307836111544,0.747888570898386,0.455027822678774,10.226826608506,0.687890448974493,0.203692163888456,0.58667426506075,0.439051444761933,0.629209505542698,0.37905636470836,0.740720719707461,0.641141759297379,0.689492325855962,0.599127981533727,0.254089422028353,0.696198830409357,0.14626676550847,0.604104135292794,0.191930207197383
"AUC",0.782286960585761,0.729997366924848,0.425932216644328,10.360959651036,0.662982980297683,0.217713039414239,0.569438956800469,0.356710688843709,0.651978801034802,0.359724831318463,0.7244343920484,0.616860863605209,0.662544169611307,0.577071043857399,0.28680479825518,0.669670769070987,0.134105641377023,0.581894029876582,0.130861504907306
"ACC",0.734148621280573,0.710850607347336,0.431851702607369,10.3260632497274,0.613802093983661,0.265851378719427,0.590692494637712,0.414455657462369,0.493274838822442,0.442332818422331,0.692469687326208,0.572573575453976,0.559471365638767,0.586304180559118,0.369683751363141,0.585786632702572,0.127184054715602,0.587601910993405,0.104689203925845
"RANDOM",0.785231344446175,0.736219843406321,0.439468383158681,10.3563794983642,0.662431992167188,0.214768655553825,0.568838444551003,0.459875370674514,0.639403880584173,0.35661277307634,0.728479221726833,0.622870388397676,0.667801771175204,0.58391895357784,0.267829880043621,0.672477280988731,0.140673208648166,0.591024432673833,0.126281352235551
"PRED",0.763514566131796,0.722628168511484,0.458202874757667,10.2529989094875,0.627159822811997,0.236485433868204,0.562454632996445,0.429620986117699,0.554753037340542,0.371426215148368,0.713050933888034,0.600210692652094,0.616779431664411,0.584508848422672,0.26608505997819,0.62553876512437,0.141733033501611,0.593245313392533,0.083969465648855
"TOP3",0.803629848886119,0.742667525737319,0.42933379435145,10.5398037077426,0.687504100989323,0.196370151113881,0.566135995533049,0.404342117552617,0.753878435162335,0.323093427201493,0.736796054165647,0.636691165874045,0.726644736842105,0.56655552705822,0.255179934569248,0.720592511813886,0.137044682524898,0.571033044260961,0.153762268266085
"ALL",0.803629848886119,0.742667525737319,0.42933379435145,10.5398037077426,0.687504100989323,0.196370151113881,0.566135995533049,0.404342117552617,0.753878435162335,0.323093427201493,0.736796054165647,0.636691165874045,0.726644736842105,0.56655552705822,0.255179934569248,0.720592511813886,0.137044682524898,0.571033044260961,0.153762268266085
